period,session,group,horizon,n,mean,median,skew,kurt,neg_rate
IS,NY   21-03JST,強弱差大(Q25),6,4761,-0.002034891835074757,0.006788451488971005,-0.9896860851788026,25.647013697445978,47.06994328922495
IS,NY   21-03JST,強弱差大(Q25),12,4761,0.00044719731724333423,0.011152955358830539,-0.964744637327818,16.27441700403768,46.292795631169916
IS,NY   21-03JST,強弱差大(Q25),24,4761,-0.005409314783528221,0.015600421243006563,-2.035312629664842,19.561010456891385,45.641671917664354
IS,NY   21-03JST,強弱差極大(Q10),1,2458,-0.0013109471869870689,0.0015918832564898661,-1.394556531195536,71.53195830612984,48.33197721724979
IS,NY   21-03JST,強弱差極大(Q10),3,2458,-0.005035046592047186,0.005261651831922329,-1.6285864334754752,34.172612129990966,47.96582587469487
IS,NY   21-03JST,強弱差極大(Q10),6,2458,-0.008510061088646985,0.006254643491731331,-1.6935035207387352,20.881788711568813,48.33197721724979
IS,NY   21-03JST,強弱差極大(Q10),12,2458,-0.007538149934653133,0.014575884571762406,-1.7182760349134163,12.935524243464865,46.37917005695687
IS,NY   21-03JST,強弱差極大(Q10),24,2458,-0.016151844357257316,0.01128667333147026,-2.4669778715264252,18.939719232890564,47.31489015459724
IS,深夜 03-09JST,全ブレイク,1,12813,0.00020090702664242517,0.00036467801667917183,-0.8956663468677092,32.148635654464776,47.974713181924606
IS,深夜 03-09JST,全ブレイク,3,12813,0.0008089399553156571,0.0010359169678315918,-10.659279955319322,463.4812230320438,47.64692109576212
IS,深夜 03-09JST,全ブレイク,6,12813,0.00025857558523313136,0.001745406308817136,-5.703822318602895,169.47707455090168,47.8420354327636
IS,深夜 03-09JST,全ブレイク,12,12813,0.0013584461850167531,0.003066456687633166,-2.2978643669057432,79.53052646921643,47.64692109576212
IS,深夜 03-09JST,全ブレイク,24,12813,0.003593270770723533,0.0038778888073310556,-0.5751364735229952,38.55986454160836,48.20885038632638
IS,深夜 03-09JST,強弱差大(Q25),1,2513,0.0005117140321425248,0.0007099272679668834,-0.6013222390454228,19.99350690912548,48.2292081177875
IS,深夜 03-09JST,強弱差大(Q25),3,2513,0.00278038209971746,0.002572418165076632,0.8172870238806994,16.623308635929547,47.03541583764425
IS,深夜 03-09JST,強弱差大(Q25),6,2513,0.0023412373956875963,0.005938815356557733,-0.24639849472763317,10.661155221106409,46.000795861520096
IS,深夜 03-09JST,強弱差大(Q25),12,2513,0.007973989145161257,0.01293542939819318,-0.009864050998639231,10.294249293778005,43.65300437723836
