window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
12,0.002,0.5,121,0.4132231404958678,0.019440162838069975,2.352259703406467,1.1017719829853645,-9.20104249622003,20,101,26,84,7,4,0.9669421487603306
12,0.0015,0.8,246,0.42276422764227645,0.02025123468127834,4.981803731594471,1.0995475604363838,-19.97420645688233,46,200,58,169,15,4,0.983739837398374
24,0.003,0.2,69,0.4057971014492754,0.010931179072828884,0.754251356025193,1.0907935834101452,-4.384447822470772,6,63,13,46,9,1,0.9855072463768116
12,0.0005,0.8,2966,0.4194200944032367,0.026258422020119476,77.88247971167436,1.0869452258857417,-103.561474320931,896,2069,488,2203,207,67,0.9770734996628456
24,0.0005,0.1,4650,0.4234408602150538,0.014893140162735258,69.25310175671895,1.0666019316907451,-150.03767981586103,863,3785,921,3203,429,95,0.9791397849462365
12,0.0005,1.0,2831,0.40162486753797244,0.019774655969912982,55.98205105082365,1.0592829835024768,-123.5916322567732,1003,1827,435,2141,184,70,0.9749205227834687
6,0.003,1.0,30,0.4,0.008032191131403693,0.2409657339421108,1.034426048715371,-2.6881309900391543,7,23,4,25,1,0,1.0
24,0.0005,0.2,4268,0.40674789128397376,0.0077325331519885465,33.002451492687115,1.0313056170097752,-157.51664150563235,928,3338,805,2993,379,89,0.9786785379568884
12,0.001,0.8,724,0.44060773480662985,0.004693212156500835,3.397885601306605,1.0203134560537168,-49.27242102459319,150,574,143,513,54,14,0.9806629834254144
24,0.001,0.1,1418,0.4118476727785614,0.002849660371698083,4.040818407067881,1.0197970907996528,-50.8561990074431,113,1305,258,1013,127,20,0.9858956276445698
24,0.0005,0.5,3513,0.3888414460575007,0.006005808719831499,21.098406032768054,1.019688551456586,-175.33150113583133,1095,2416,574,2581,287,69,0.9797893538286365
3,0.002,0.5,44,0.4772727272727273,0.0033883476286121306,0.14908729565893375,1.0147691920134212,-5.031289772064879,9,35,9,32,2,1,0.9772727272727273
24,0.0005,0.8,3047,0.3679028552674762,0.0039376676061463455,11.998073195927915,1.0110092356265816,-192.59902120326396,1191,1852,402,2357,224,60,0.9789957335083689
24,0.001,0.2,1244,0.40353697749196143,-0.003650633860755019,-4.541388522779243,0.9784765174035583,-57.1176935587657,138,1106,233,891,97,23,0.9815112540192926
12,0.0015,1.0,243,0.3868312757201646,-0.005620152398066607,-1.3656970327301856,0.9749412714234161,-22.60451811785839,53,190,49,170,18,6,0.9753086419753086
12,0.002,0.8,120,0.39166666666666666,-0.006238116491633087,-0.7485739789959704,0.969140335547519,-10.585248737591147,24,96,26,84,9,1,0.9916666666666667
24,0.002,0.1,212,0.35377358490566035,-0.004532901406425084,-0.9609750981621179,0.968637196166382,-9.975048545355413,18,194,40,153,18,1,0.9952830188679245
24,0.0005,1.0,2873,0.35607379046293075,-0.017267199025302226,-49.60866279969329,0.9553992279687039,-218.97442734773034,1282,1584,352,2275,174,65,0.9749390880612601
12,0.002,1.0,119,0.4117647058823529,-0.012340589215053762,-1.4685301165913978,0.9416056604681353,-11.317194869387698,26,93,24,81,11,3,0.9747899159663865
24,0.001,0.5,998,0.3967935871743487,-0.01642151946914754,-16.388676430209244,0.9283737490315082,-70.52085151759508,199,799,176,744,62,16,0.9839679358717435
12,0.003,0.2,49,0.3673469387755102,-0.013710971469507756,-0.67183760200588,0.9268967352312985,-4.763639518655125,11,38,12,36,1,0,1.0
24,0.0015,0.1,481,0.39501039501039503,-0.011937090997554706,-5.741740769823814,0.9203395341019822,-24.291275398107146,42,439,98,334,43,6,0.9875259875259875
12,0.001,1.0,712,0.40168539325842695,-0.02356008198635695,-16.77477837428615,0.9101051071098941,-57.002396859900635,174,538,127,528,45,12,0.9831460674157303
3,0.002,0.8,44,0.4772727272727273,-0.02546678588160461,-1.1205385787906028,0.8961613478029177,-5.795725717390372,10,34,6,36,2,0,1.0
12,0.003,0.5,49,0.3877551020408163,-0.023856240006231176,-1.1689557603053276,0.881223085530886,-4.768346287619186,11,38,11,35,2,1,0.9795918367346939
3,0.002,1.0,44,0.4772727272727273,-0.02996559656191147,-1.3184862487241047,0.8770893991936667,-5.735513997738835,10,34,4,36,3,1,0.9772727272727273
24,0.002,0.2,190,0.3473684210526316,-0.02332014589514529,-4.430827720077605,0.8695891208094413,-11.62714753068111,22,168,36,139,15,0,1.0
3,0.003,0.5,18,0.4444444444444444,-0.03486463736177518,-0.6275634725119533,0.8496020470815189,-2.9155166424369074,4,14,3,14,0,1,0.9444444444444444
24,0.001,1.0,891,0.3602693602693603,-0.04637045238961171,-41.31607307914403,0.843799152263696,-83.59070319401624,279,611,130,677,63,20,0.9764309764309764
24,0.001,0.8,935,0.3679144385026738,-0.0436628810823625,-40.824793812008934,0.8415756191507483,-78.57616075738095,254,680,156,696,63,19,0.9786096256684492
6,0.003,0.8,30,0.4,-0.03475622599920824,-1.0426867799762471,0.8374592379643947,-2.36032539485422,7,23,5,24,1,0,1.0
24,0.0015,0.2,428,0.37616822429906543,-0.03395780753789421,-14.53394162621872,0.8151033112973612,-31.324413840566955,49,379,81,306,36,5,0.9883177570093458
12,0.003,0.1,54,0.3888888888888889,-0.0339073726394831,-1.8309981225320873,0.7984566507821212,-4.361021808134654,10,44,16,34,3,1,0.9814814814814815
3,0.003,0.1,18,0.5,-0.043952809746819366,-0.7911505754427486,0.7877242586246187,-2.7258103267461067,3,15,5,12,1,0,1.0
24,0.0015,0.8,343,0.36151603498542273,-0.06233126577255426,-21.37962415998611,0.7799816190641802,-44.79519590808627,90,253,59,253,22,9,0.9737609329446064
24,0.0015,1.0,337,0.34124629080118696,-0.06794669496668994,-22.89803620377451,0.775999320064879,-48.664181497474324,100,237,58,255,20,4,0.9881305637982196
24,0.0015,0.5,363,0.349862258953168,-0.058061231146650974,-21.076226906234304,0.7645753944503351,-42.85411056090909,75,288,50,266,38,9,0.9752066115702479
12,0.003,0.8,49,0.3469387755102041,-0.05111991523648646,-2.5048758465878365,0.752781579618286,-4.621797724773595,11,38,13,34,2,0,1.0
3,0.003,0.2,18,0.5555555555555556,-0.062138865205545755,-1.1184995736998236,0.7202067884445885,-2.7987168565507536,4,14,6,11,1,0,1.0
12,0.003,1.0,49,0.3673469387755102,-0.0640516557463544,-3.1385311315713653,0.6939140355133878,-4.727529981052803,11,38,11,33,4,1,0.9795918367346939
24,0.002,0.5,173,0.3468208092485549,-0.08597960257512835,-14.874471245497205,0.6625986166259179,-22.77506597835415,33,140,26,130,13,4,0.976878612716763
24,0.003,0.8,61,0.4098360655737705,-0.0808490568168624,-4.9317924658286065,0.6446443390559735,-4.6095211842458665,14,47,15,43,3,0,1.0
24,0.002,0.8,171,0.34502923976608185,-0.10721600976290149,-18.333937669456155,0.6346432951102959,-26.254368471832834,44,127,32,127,11,1,0.9941520467836257
24,0.002,1.0,170,0.3235294117647059,-0.12273497832888705,-20.8649463159108,0.6153050869355273,-28.39705762829839,51,119,30,132,7,1,0.9941176470588236
24,0.003,1.0,61,0.3770491803278688,-0.09325413103815311,-5.68850199332734,0.6067341603699609,-5.775525971028004,15,46,16,40,5,0,1.0
6,0.003,0.1,33,0.3939393939393939,-0.08022303050062551,-2.647360006520642,0.5875141436316045,-2.6694101173609566,6,27,5,25,2,1,0.9696969696969697
3,0.003,0.8,18,0.3333333333333333,-0.09752796948442127,-1.7555034507195828,0.5783101196639492,-2.9155166424369074,4,14,1,17,0,0,1.0
6,0.003,0.2,32,0.34375,-0.08525291345948319,-2.728093230703462,0.5736317645356752,-2.6694101173609566,6,26,4,24,2,2,0.9375
24,0.003,0.5,61,0.39344262295081966,-0.09805217583755425,-5.981182726090809,0.5479675231384826,-6.661371449575736,13,48,9,48,4,0,1.0
3,0.003,1.0,18,0.2777777777777778,-0.11201202841760345,-2.016216511516862,0.538385888715627,-3.0369824908362446,4,14,0,17,1,0,1.0
6,0.003,0.5,31,0.3225806451612903,-0.10510838609269857,-3.2583599688736555,0.5285731787526198,-3.037223411471298,7,24,4,25,2,0,1.0
