window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,case_a,case_b,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
24,0.0015,0.5,474,0.2489451476793249,-0.18408398680515145,-87.25580974564178,0.42306405659134894,-97.73061844979075,111,363,124,350,76,337,45,16,0.9662447257383966
24,0.001,0.8,1225,0.26612244897959186,-0.22414454065719452,-274.5770623050633,0.42180174962642114,-275.4457633085616,418,806,322,903,274,855,70,25,0.9787755102040816
6,0.002,0.2,107,0.2336448598130841,-0.15000937759536076,-16.0510034027036,0.41789207078016316,-16.789614668947717,24,83,29,78,31,66,9,1,0.9906542056074766
12,0.001,0.8,856,0.2371495327102804,-0.21735411702486257,-186.05512417328237,0.39703986107039024,-186.02575173536968,239,617,160,696,186,587,65,18,0.9789719626168224
24,0.001,1.0,1174,0.25894378194207834,-0.2516215487316021,-295.40369821090087,0.3966130178893856,-296.5456361889396,461,712,300,874,239,836,68,30,0.9735945485519591
24,0.0015,0.1,678,0.23008849557522124,-0.131111365511407,-88.89350581673395,0.3946437749494624,-90.1477850937719,65,613,232,446,150,448,64,16,0.976401179941003
12,0.001,1.0,835,0.24191616766467067,-0.23891539023126296,-199.49435084310457,0.3883547719264819,-199.41307029010193,273,562,147,688,174,586,57,18,0.9784431137724551
12,0.001,0.2,1110,0.22072072072072071,-0.17581406362572463,-195.15361062455435,0.3795658470732161,-196.7654147670446,167,943,296,814,246,745,91,28,0.9747747747747748
24,0.003,0.8,65,0.2923076923076923,-0.17758682740950213,-11.543143781617639,0.37385116719306843,-9.972090403628217,18,47,4,61,17,45,3,0,1.0
6,0.0005,1.0,3260,0.21196319018404908,-0.3359655442405396,-1095.247674224159,0.35862264921419545,-1094.4915713686787,1326,1933,780,2480,635,2310,221,93,0.9711656441717792
24,0.003,1.0,65,0.27692307692307694,-0.18860988208474855,-12.259642335508655,0.3565850045628693,-10.551816373129853,19,46,4,61,18,42,5,0,1.0
12,0.001,0.1,1230,0.2040650406504065,-0.17635143767951902,-216.9122683458084,0.3512197445935078,-217.2259709651207,151,1079,375,855,289,802,110,29,0.9764227642276423
24,0.001,0.5,1391,0.23076923076923078,-0.23225762483586665,-323.07035614669053,0.34780952620661426,-323.3171058819874,377,1013,431,960,314,984,66,26,0.9805895039539899
3,0.0005,1.0,2238,0.19973190348525469,-0.350505119522793,-784.4304574920108,0.34770008757398224,-784.1294592882673,777,1460,351,1887,427,1541,192,77,0.9651474530831099
6,0.0005,0.8,3382,0.21023063276167947,-0.33368607327852084,-1128.5262998279575,0.3401198847979063,-1127.7701969724774,1251,2130,831,2551,731,2301,239,110,0.9671791839148433
