window,entry_thr,exit_ratio,trades,win_rate,pf,total_pnl,propagation_rate,cost_model
6,0.0015,0.5,146,0.3424657534246575,1.0162360781013842,0.5605242899759926,0.952054794520548,Old (0.02% fixed)
3,0.0015,1.0,94,0.4148936170212766,1.0125416853682252,0.31950802460759936,0.9680851063829787,Old (0.02% fixed)
6,0.0015,0.2,150,0.4,0.9744146851680883,-0.8168938858833528,0.9466666666666667,Old (0.02% fixed)
6,0.002,0.8,73,0.3561643835616438,0.9425201602365466,-1.055013188279746,0.9726027397260274,Old (0.02% fixed)
3,0.0015,0.8,97,0.3917525773195876,0.9389796585999386,-1.5169068141957311,0.9587628865979382,Old (0.02% fixed)
6,0.0015,0.1,159,0.36477987421383645,0.9036086310399932,-3.2624634134776915,0.949685534591195,Old (0.02% fixed)
3,0.0015,0.5,98,0.3673469387755102,0.900263314851077,-2.434727591962615,0.9693877551020408,Old (0.02% fixed)
3,0.001,1.0,262,0.29770992366412213,0.8600868258868383,-12.164519368233147,0.9656488549618321,Old (0.02% fixed)
6,0.002,0.5,76,0.35526315789473684,0.827194467665391,-3.039855139606668,0.9605263157894737,Old (0.02% fixed)
3,0.001,0.5,274,0.28832116788321166,0.8081914641600376,-15.937355448761068,0.9635036496350365,Old (0.02% fixed)
6,0.003,1.0,30,0.3333333333333333,0.7926792973438292,-1.7109108010412992,1.0,Old (0.02% fixed)
3,0.001,0.8,268,0.2873134328358209,0.7916754101175455,-17.543697713429342,0.9664179104477612,Old (0.02% fixed)
3,0.0015,0.2,101,0.33663366336633666,0.7725534085171165,-5.652994688014427,0.9900990099009901,Old (0.02% fixed)
3,0.001,0.2,283,0.2756183745583039,0.7683233176957837,-19.36080824659631,0.9646643109540636,Old (0.02% fixed)
6,0.002,0.1,82,0.36585365853658536,0.764270937215364,-3.784483750552431,0.9878048780487805,Old (0.02% fixed)
12,0.002,0.1,136,0.25,0.7627747771072511,-6.7344859761235,1.0,Old (0.02% fixed)
12,0.002,0.2,129,0.26356589147286824,0.7557587249046211,-6.90812424621115,1.0,Old (0.02% fixed)
3,0.002,0.1,45,0.4,0.740754086633446,-2.7399682863311354,1.0,Old (0.02% fixed)
3,0.002,0.2,44,0.38636363636363635,0.7382312709985702,-2.974501368691596,1.0,Old (0.02% fixed)
3,0.0015,0.1,104,0.33653846153846156,0.7378788630511746,-6.68985814980146,1.0,Old (0.02% fixed)
3,0.001,0.1,285,0.27017543859649124,0.7332396318719169,-21.972725303809554,0.9649122807017544,Old (0.02% fixed)
