pair,case_type,direction,entry_time,exit_time,exit_reason,propagation,pnl_pct
GBPJPY,B,LONG,2023-04-28 09:15:00,2023-04-28 10:25:00,spread_reduced,Pseudo,0.728643779846679
AUDJPY,B,LONG,2023-04-28 09:15:00,2023-04-28 10:25:00,spread_reduced,Pseudo,0.45652278015954434
EURJPY,B,LONG,2023-04-28 13:55:00,2023-04-28 14:55:00,spread_reduced,Pseudo,0.9993019563265075
GBPJPY,B,LONG,2023-04-28 13:55:00,2023-04-28 14:55:00,spread_reduced,Pseudo,1.27234552377035
AUDJPY,B,LONG,2023-04-28 13:55:00,2023-04-28 14:55:00,spread_reduced,Pseudo,0.9138882385178645
USDJPY,B,SHORT,2023-05-01 07:15:00,2023-05-01 07:45:00,spread_reduced,Real,-0.18001827482705401
NZDJPY,B,SHORT,2023-05-01 07:15:00,2023-05-01 07:45:00,spread_reduced,Real,0.046980540785483235
CHFJPY,B,SHORT,2023-05-01 07:15:00,2023-05-01 07:45:00,spread_reduced,Real,-0.08860025637498956
USDJPY,B,LONG,2023-05-02 04:30:00,2023-05-02 05:30:00,spread_reduced,Pseudo,0.10939993025342136
NZDJPY,B,LONG,2023-05-02 04:30:00,2023-05-02 05:30:00,spread_reduced,Pseudo,0.7007096675514617
CHFJPY,B,LONG,2023-05-02 04:30:00,2023-05-02 05:30:00,spread_reduced,Pseudo,0.2954703583350297
USDJPY,B,LONG,2023-05-02 07:15:00,2023-05-02 07:30:00,spread_reduced,Pseudo,-0.2053688761456396
NZDJPY,B,LONG,2023-05-02 07:15:00,2023-05-02 07:30:00,spread_reduced,Pseudo,-0.36744339911291374
CHFJPY,B,LONG,2023-05-02 07:15:00,2023-05-02 07:30:00,spread_reduced,Pseudo,-0.389535950191459
USDJPY,B,SHORT,2023-05-02 07:45:00,2023-05-02 08:55:00,spread_reduced,Pseudo,0.13245981197892073
NZDJPY,B,SHORT,2023-05-02 07:45:00,2023-05-02 08:55:00,spread_reduced,Pseudo,0.4041071073601262
CHFJPY,B,SHORT,2023-05-02 07:45:00,2023-05-02 08:55:00,spread_reduced,Real,0.3886319564273544
USDJPY,B,SHORT,2023-05-02 13:50:00,2023-05-02 14:20:00,spread_reduced,Real,1.2410064202140378
NZDJPY,B,SHORT,2023-05-02 13:50:00,2023-05-02 14:20:00,spread_reduced,Real,1.2194550426859834
CHFJPY,B,SHORT,2023-05-02 13:50:00,2023-05-02 14:20:00,spread_reduced,Real,0.5827118330684982
USDJPY,B,SHORT,2023-05-02 23:00:00,2023-05-02 23:30:00,spread_reduced,Pseudo,0.022427823099246957
NZDJPY,B,SHORT,2023-05-02 23:00:00,2023-05-02 23:30:00,spread_reduced,Pseudo,-0.18905994352169664
CHFJPY,B,SHORT,2023-05-02 23:00:00,2023-05-02 23:30:00,spread_reduced,Pseudo,-0.07563183639451114
USDJPY,B,SHORT,2023-05-03 01:40:00,2023-05-03 02:25:00,spread_reduced,Pseudo,0.08127382880936582
NZDJPY,B,SHORT,2023-05-03 01:40:00,2023-05-03 02:25:00,spread_reduced,Pseudo,-0.08484164561983754
CHFJPY,B,SHORT,2023-05-03 01:40:00,2023-05-03 02:25:00,spread_reduced,Pseudo,0.11090917455506648
NZDJPY,B,SHORT,2023-05-03 07:05:00,2023-05-03 07:15:00,stop,Pseudo,-0.5899141992571355
USDJPY,B,SHORT,2023-05-03 07:05:00,2023-05-03 07:20:00,spread_reduced,Pseudo,-0.35802475068084466
CHFJPY,B,SHORT,2023-05-03 07:05:00,2023-05-03 07:20:00,stop,Pseudo,-0.6688919758271646
USDJPY,B,SHORT,2023-05-03 08:00:00,2023-05-03 08:35:00,spread_reduced,Pseudo,0.14779311807526047
USDJPY,B,SHORT,2023-05-03 10:45:00,2023-05-03 11:10:00,spread_reduced,Pseudo,-0.21605472946495397
NZDJPY,B,SHORT,2023-05-03 10:45:00,2023-05-03 11:10:00,spread_reduced,Pseudo,-0.30056439750395886
CHFJPY,B,SHORT,2023-05-03 10:45:00,2023-05-03 11:10:00,spread_reduced,Pseudo,-0.21355538386684064
NZDJPY,B,SHORT,2023-05-03 12:45:00,2023-05-03 19:00:00,stop,Both,-0.9674643176374639
CHFJPY,B,SHORT,2023-05-03 12:45:00,2023-05-03 19:00:00,stop,Real,-0.7987062907168774
USDJPY,B,SHORT,2023-05-03 12:45:00,2023-05-03 20:05:00,spread_reduced,Pseudo,0.796215546370771
NZDJPY,B,SHORT,2023-05-03 19:15:00,2023-05-03 20:05:00,spread_reduced,Pseudo,0.38920450327358436
CHFJPY,B,SHORT,2023-05-03 19:15:00,2023-05-03 20:05:00,spread_reduced,Pseudo,0.2777317600175522
USDJPY,B,LONG,2023-05-03 20:25:00,2023-05-03 20:45:00,spread_reduced,Pseudo,-0.4876762303464751
NZDJPY,B,LONG,2023-05-03 20:25:00,2023-05-03 20:45:00,stop,Pseudo,-0.5878202451969905
