window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
12,0.002,0.1,12259,0.3345297332571988,-0.020747444242336224,-254.34291896679977,0.8199901460956932,-254.85363720393215,337,11922,2195,9211,592,261,0.978709519536667
6,0.002,0.5,6499,0.37098015079242963,-0.02511445747985753,-163.21885916159408,0.8171778723015326,-165.4152434999228,309,6190,1221,4846,288,144,0.9778427450376981
6,0.0015,1.0,12689,0.3555047679092127,-0.03775073779524304,-479.01911188383895,0.8137132087706925,-481.6448946268425,1701,10988,2164,9699,569,257,0.9797462368981007
12,0.001,0.8,28769,0.34290382008411835,-0.05127789700446701,-1475.2138189215116,0.8125420876748558,-1485.189787651933,7366,21397,4255,22529,1215,764,0.9732350794257708
24,0.001,0.2,36658,0.3159474057504501,-0.043231585197741354,-1584.7834501788025,0.806561194742986,-1667.5600415920178,5939,30718,5715,28034,1851,1057,0.9711386327677451
6,0.002,0.2,7077,0.36710470538363715,-0.023226368794961334,-164.37301196194136,0.803265324538399,-172.1272364310749,207,6870,1495,5131,291,160,0.9773915500918469
3,0.0015,0.5,8688,0.3738489871086556,-0.03034921534449082,-263.67398291293625,0.7993777510024181,-265.6842989430252,498,8190,1945,6167,371,205,0.9764042357274402
24,0.0005,1.0,46797,0.2640767570570763,-0.09977879913016803,-4669.348462894473,0.7955663072298584,-4796.356840626025,25781,21010,4059,39721,1537,1474,0.9683740410710088
3,0.003,0.1,982,0.390020366598778,-0.020614745985360443,-20.243680557623954,0.7949602423012039,-34.81611632636636,21,961,283,638,34,27,0.9725050916496945
12,0.0015,0.2,19638,0.34244831449231083,-0.03208359972731663,-630.0577314450439,0.794047902770378,-630.0458465162756,1271,18367,3331,14841,972,494,0.9748446888685203
12,0.001,0.5,31794,0.3401899729508712,-0.04988934274860743,-1586.1817633492246,0.7936530448336679,-1597.7064469465556,6088,25705,4972,24554,1474,793,0.9750267346040133
3,0.002,0.5,3767,0.3705866737456862,-0.028167997099079627,-106.10884507223295,0.7908339989141765,-124.52806455755866,140,3627,911,2628,145,83,0.9779665516325989
24,0.0005,0.8,49476,0.26972673619532705,-0.09843085286003084,-4869.964876102886,0.7890693107527489,-4958.143779709317,25416,24054,4773,41373,1774,1550,0.9685504082787614
6,0.002,0.1,7330,0.3570259208731241,-0.02373228667634189,-173.95766133758605,0.7882045735848413,-176.58337075174256,184,7146,1484,5386,315,145,0.980218281036835
6,0.0015,0.8,13141,0.358800700098927,-0.039910312218785174,-524.461412867056,0.7861965500457869,-524.3368145926283,1409,11732,2503,9736,607,295,0.9775511757096111
24,0.001,0.1,40327,0.3120489994296625,-0.0444250337946738,-1791.5283378378103,0.7860655801176204,-1835.7209134785287,5519,34807,6579,30490,2110,1147,0.9715327200138865
6,0.001,1.0,28263,0.3450801401125146,-0.05629187869489064,-1590.9773675536942,0.780748362784399,-1590.5145671820283,6234,22027,4188,22186,1310,577,0.9795138520326929
6,0.001,0.8,29182,0.34898224933177985,-0.05281660534927583,-1541.2941773025673,0.7784060441786849,-1540.7095714502414,5484,23696,4669,22466,1382,663,0.9772119799876636
24,0.0005,0.5,54613,0.27433028766044715,-0.09820052534883028,-5363.025290875668,0.772387388135017,-5434.669365252254,24627,29980,6241,44489,2107,1770,0.9674802702653215
12,0.0015,0.1,21515,0.3341854520102254,-0.03406654792083756,-732.9417785168201,0.7642360529645048,-732.929893588055,1116,20399,3756,16155,1104,500,0.9767603997211248
6,0.0015,0.5,13778,0.35905066047321815,-0.039305449316188665,-541.5504806784475,0.7627009822638336,-541.3910273929462,1041,12737,2613,10229,649,287,0.9791696908114386
3,0.0015,0.2,8970,0.3613154960981048,-0.03340305907323044,-299.6254398868771,0.7616114899535724,-304.1293254871455,414,8556,2036,6325,395,214,0.9761426978818283
3,0.003,0.2,982,0.3757637474541752,-0.02527059800804971,-24.815727243904814,0.7607401289666259,-38.410044776299394,22,960,277,643,33,29,0.9704684317718941
12,0.001,0.2,37264,0.32803778445684845,-0.04961370307519253,-1848.8050313939743,0.7597478791425321,-1850.2496915873128,4816,32447,6098,28436,1856,873,0.9765457277801631
3,0.001,0.8,23471,0.3573771888713732,-0.051260829855018515,-1203.1429375271396,0.7596207714303423,-1203.0186040457857,3200,20266,4436,17510,1063,457,0.9803161348046525
