ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
8002.T,2024-07-04,2024-07-24,2939.1,2737.0,2750.6,-6.88,stop_base,20
8005.T,2020-10-12,2020-10-26,677.6,660.3,677.6,-2.56,stop_breakeven,14
8005.T,2021-01-05,2021-05-11,565.7,675.4,565.7,19.38,time,126
8005.T,2022-07-20,2022-08-01,765.4,666.7,701.0,-12.89,stop_base,12
8005.T,2023-08-15,2023-10-04,857.2,841.3,857.2,-1.86,stop_breakeven,50
8005.T,2023-10-11,2023-10-30,948.8,798.6,841.3,-15.82,stop_base,19
8005.T,2023-12-13,2024-02-06,859.9,859.0,859.9,-0.1,stop_breakeven,55
8005.T,2024-12-09,2025-02-07,986.1,963.9,986.1,-2.26,stop_breakeven,60
8007.T,2020-07-16,2020-07-31,166.2,147.6,153.7,-11.21,stop_base,15
8007.T,2021-11-10,2022-03-08,207.0,206.9,207.0,-0.05,stop_breakeven,118
8007.T,2022-07-28,2022-12-01,261.3,293.5,261.3,12.33,time,126
8007.T,2023-02-21,2023-06-27,303.4,370.7,303.4,22.19,time,126
8007.T,2023-08-10,2023-10-04,386.0,374.6,386.0,-2.95,stop_breakeven,55
8007.T,2023-11-10,2024-03-15,422.7,578.4,422.7,36.83,time,126
8011.T,2021-09-10,2021-10-07,780.7,767.9,780.7,-1.64,stop_breakeven,27
8011.T,2023-01-31,2023-06-06,1204.8,1410.6,1204.8,17.08,time,126
8011.T,2023-06-28,2023-08-16,1647.8,1627.3,1647.8,-1.24,stop_breakeven,49
8011.T,2023-09-08,2023-09-20,1854.7,1807.7,1854.7,-2.54,stop_breakeven,12
8011.T,2023-11-21,2024-03-26,2403.7,2455.2,2005.7,2.14,time,126
8011.T,2024-03-27,2024-04-26,2562.6,2547.9,2562.6,-0.57,stop_breakeven,30
8012.T,2021-03-09,2021-07-13,380.9,368.0,318.3,-3.39,time,126
8012.T,2021-08-12,2021-11-08,394.0,393.4,394.0,-0.14,stop_breakeven,88
8012.T,2022-01-05,2022-03-08,416.5,359.7,366.4,-13.64,stop_base,62
8012.T,2022-07-20,2022-11-10,441.6,440.8,441.6,-0.18,stop_breakeven,113
8012.T,2022-11-24,2023-01-06,470.0,437.5,438.4,-6.93,stop_base,43
8012.T,2023-01-31,2023-03-14,469.1,462.6,469.1,-1.39,stop_breakeven,42
8012.T,2023-04-28,2023-09-01,488.6,578.0,488.6,18.32,time,126
8012.T,2023-09-04,2023-10-03,582.5,531.6,543.1,-8.74,stop_base,29
8012.T,2024-04-26,2024-08-05,635.1,598.3,635.1,-5.79,stop_breakeven,101
8012.T,2024-09-20,2024-11-21,760.3,758.3,760.3,-0.27,stop_breakeven,62
8012.T,2024-12-27,2025-01-09,776.8,722.8,732.7,-6.95,stop_base,13
8014.T,2021-08-11,2021-12-15,1586.5,1461.2,1398.7,-7.9,time,126
8014.T,2022-08-15,2022-12-19,1737.3,1811.5,1638.6,4.27,time,126
8014.T,2023-01-24,2023-05-30,2015.6,2367.8,2015.6,17.47,time,126
8014.T,2023-06-13,2023-10-17,2450.8,2639.9,2450.8,7.72,time,126
8014.T,2023-11-06,2023-12-08,2764.5,2430.7,2492.6,-12.07,stop_base,32
8014.T,2024-03-29,2024-08-02,3156.0,3114.3,3156.0,-1.32,stop_breakeven,126
8014.T,2024-09-24,2025-01-10,3378.1,3348.6,3378.1,-0.87,stop_breakeven,108
8015.T,2021-02-08,2021-03-23,1317.1,1312.9,1317.1,-0.32,stop_breakeven,43
8015.T,2021-05-06,2021-08-20,1389.8,1343.0,1389.8,-3.36,stop_breakeven,106
8015.T,2022-01-05,2022-01-19,1603.5,1398.4,1401.3,-12.79,stop_base,14
8015.T,2022-12-01,2023-03-20,1574.6,1556.7,1574.6,-1.14,stop_breakeven,109
8015.T,2023-04-04,2023-08-08,1724.1,2569.8,1724.1,49.05,time,126
8015.T,2023-08-31,2023-10-03,2643.9,2557.2,2643.9,-3.28,stop_breakeven,33
8015.T,2023-11-06,2024-03-11,2762.8,2901.9,2762.8,5.03,time,126
8015.T,2024-03-21,2024-06-13,3231.5,2803.7,2828.8,-13.24,stop_base,84
8015.T,2024-07-02,2024-07-25,3033.7,2705.5,2758.0,-10.82,stop_base,23
8016.T,2021-11-08,2021-11-26,300.4,250.1,254.1,-16.76,stop_base,18
8016.T,2022-11-28,2023-04-03,276.2,344.3,276.2,24.64,time,126
8016.T,2023-05-08,2023-09-11,346.1,484.3,346.1,39.95,time,126
8016.T,2023-11-28,2024-04-02,444.7,524.4,444.7,17.93,time,126
8016.T,2024-04-03,2024-07-05,535.4,530.8,535.4,-0.85,stop_breakeven,93
8020.T,2021-03-17,2021-07-21,621.5,597.6,529.4,-3.84,time,126
8020.T,2021-07-27,2021-08-20,620.0,567.9,572.0,-8.4,stop_base,24
8020.T,2022-08-22,2022-12-26,648.9,658.2,648.9,1.43,time,126
8020.T,2023-01-27,2023-06-02,673.5,825.2,673.5,22.53,time,126
8020.T,2023-06-12,2023-10-16,871.3,908.9,871.3,4.32,time,126
8020.T,2023-11-28,2024-04-02,947.3,1163.2,947.3,22.8,time,126
8020.T,2024-04-12,2024-06-17,1210.2,1202.7,1210.2,-0.61,stop_breakeven,66
8022.T,2021-07-12,2021-08-19,781.3,775.3,781.3,-0.77,stop_breakeven,38
8022.T,2021-09-17,2021-11-11,841.1,721.1,749.5,-14.27,stop_base,55
8022.T,2022-09-13,2022-11-14,848.3,839.2,848.3,-1.08,stop_breakeven,62
8022.T,2022-11-24,2023-03-22,945.7,942.6,945.7,-0.33,stop_breakeven,118
8022.T,2023-04-25,2023-08-29,1036.6,1456.6,1036.6,40.52,time,126
8022.T,2024-05-27,2024-07-01,2543.9,2518.2,2543.9,-1.01,stop_breakeven,35
8022.T,2024-12-03,2025-01-17,2787.0,2780.5,2787.0,-0.23,stop_breakeven,45
8031.T,2020-02-06,2020-02-18,796.5,772.5,775.3,-3.02,stop_base,12
8031.T,2021-03-29,2021-08-02,1001.5,1093.8,1001.5,9.21,time,126
8031.T,2021-10-18,2022-02-21,1141.9,1334.6,1141.9,16.88,time,126
8031.T,2022-06-08,2022-06-20,1520.5,1339.3,1341.1,-11.92,stop_base,12
8031.T,2022-08-12,2022-12-16,1358.7,1796.1,1358.7,32.19,time,126
8031.T,2023-02-08,2023-03-14,1782.6,1773.1,1782.6,-0.53,stop_breakeven,34
8031.T,2023-04-14,2023-08-18,1972.9,2426.1,1972.9,22.97,time,126
8031.T,2023-09-15,2023-10-04,2620.3,2363.8,2415.1,-9.79,stop_base,19
8031.T,2023-11-06,2023-12-08,2688.0,2347.5,2363.8,-12.67,stop_base,32
8031.T,2024-01-10,2024-05-15,2567.5,3696.3,2567.5,43.97,time,126
8031.T,2024-05-17,2024-07-25,3767.2,3264.2,3271.3,-13.35,stop_base,69
8032.T,2022-08-17,2022-12-21,391.5,434.8,391.5,11.08,time,126
8032.T,2023-01-27,2023-02-07,465.2,464.3,465.2,-0.19,stop_breakeven,11
8032.T,2023-03-08,2023-05-31,496.4,429.0,439.3,-13.58,stop_base,84
8032.T,2024-06-06,2024-08-02,577.1,549.3,577.1,-4.82,stop_breakeven,57
8032.T,2024-09-26,2025-01-30,665.0,614.6,553.0,-7.58,time,126
8035.T,2020-01-14,2020-03-09,7174.4,6017.4,6309.5,-16.13,stop_base,55
8035.T,2020-06-19,2020-10-23,7164.4,8309.7,7164.4,15.99,time,126
8035.T,2020-11-09,2021-03-15,8743.5,12138.9,8743.5,38.83,time,126
8035.T,2021-03-30,2021-05-12,13722.7,13702.1,13722.7,-0.15,stop_breakeven,43
8035.T,2021-09-02,2021-10-04,14159.0,14067.6,14159.0,-0.65,stop_breakeven,32
8035.T,2021-12-16,2022-01-11,18880.1,18722.0,18880.1,-0.84,stop_breakeven,26
8035.T,2023-06-29,2023-08-08,19605.1,19529.6,19605.1,-0.39,stop_breakeven,40
8035.T,2023-09-06,2023-10-04,20869.7,18404.0,18557.6,-11.81,stop_base,28
8035.T,2023-11-06,2024-03-11,20447.8,35315.5,20447.8,72.71,time,126
8035.T,2024-03-29,2024-04-22,37860.2,31040.0,31874.2,-18.01,stop_base,24
8035.T,2024-07-05,2024-07-17,34789.7,31939.2,32082.7,-8.19,stop_base,12
8037.T,2021-03-25,2021-04-27,1143.4,976.1,978.5,-14.64,stop_base,33
8037.T,2022-11-22,2023-03-28,1091.8,1252.0,1091.8,14.67,time,126
8037.T,2023-04-28,2023-05-11,1413.3,1397.9,1413.3,-1.09,stop_breakeven,13
8037.T,2023-07-04,2023-11-07,1357.9,1434.3,1357.9,5.63,time,126
8037.T,2023-11-15,2024-03-21,1458.3,1943.4,1458.3,33.27,time,127
8037.T,2024-03-29,2024-05-14,1993.5,1988.8,1993.5,-0.23,stop_breakeven,46
8037.T,2024-06-19,2024-07-08,2135.5,2106.5,2135.5,-1.36,stop_breakeven,19
8043.T,2020-02-04,2020-02-28,608.2,568.4,578.5,-6.56,stop_base,24
8043.T,2023-04-20,2023-05-31,688.1,680.2,688.1,-1.14,stop_breakeven,41
8043.T,2023-08-10,2023-10-04,740.9,735.7,740.9,-0.69,stop_breakeven,55
8043.T,2023-12-22,2024-04-26,759.9,833.6,759.9,9.7,time,126
8043.T,2024-06-19,2024-08-02,893.8,892.5,893.8,-0.14,stop_breakeven,44
8043.T,2024-09-20,2025-01-24,938.1,879.2,797.3,-6.28,time,126
8050.T,2021-07-12,2021-08-20,1073.4,934.1,955.5,-12.98,stop_base,39
8050.T,2021-09-27,2021-11-10,1036.4,998.5,1036.4,-3.66,stop_breakeven,44
8050.T,2022-07-20,2022-11-24,1340.1,1473.0,1340.1,9.92,time,127
8050.T,2024-05-20,2024-07-26,2102.7,2078.7,2102.7,-1.14,stop_breakeven,67
8051.T,2023-05-01,2023-09-04,960.0,1035.9,960.0,7.91,time,126
8051.T,2023-09-15,2024-01-19,1078.8,1104.9,976.9,2.42,time,126
8051.T,2024-04-26,2024-08-05,1285.2,1270.4,1285.2,-1.16,stop_breakeven,101
8052.T,2021-12-28,2022-03-07,1229.4,1052.4,1075.0,-14.4,stop_base,69
8052.T,2023-01-25,2023-03-14,1240.4,1219.8,1240.4,-1.66,stop_breakeven,48
8052.T,2023-05-09,2023-05-30,1289.0,1190.4,1192.0,-7.65,stop_base,21
8052.T,2023-07-19,2023-11-22,1346.6,1813.1,1346.6,34.64,time,126
8052.T,2024-01-11,2024-03-28,2100.5,2089.9,2100.5,-0.5,stop_breakeven,77
8052.T,2024-06-27,2024-07-10,2129.2,1970.2,1980.5,-7.47,stop_base,13
8053.T,2021-08-11,2021-09-22,1258.3,1251.9,1258.3,-0.51,stop_breakeven,42
8053.T,2021-10-15,2022-02-18,1346.1,1573.8,1346.1,16.92,time,126
8053.T,2022-11-01,2023-03-07,1737.1,2161.4,1737.1,24.43,time,126
8053.T,2023-03-08,2023-03-16,2179.9,1959.8,1988.9,-10.1,stop_base,8
8053.T,2023-04-12,2023-08-16,2206.2,2639.5,2206.2,19.64,time,126
8053.T,2023-09-04,2023-10-04,2802.9,2542.4,2583.6,-9.3,stop_base,30
8053.T,2023-11-06,2024-03-11,2946.2,3188.4,2946.2,8.22,time,126
8053.T,2024-03-21,2024-07-25,3427.0,3544.4,3427.0,3.43,time,126
8056.T,2020-02-05,2020-02-28,3254.6,2780.5,2789.0,-14.57,stop_base,23
8056.T,2020-12-23,2021-02-04,3489.5,3060.9,3078.4,-12.28,stop_base,43
8056.T,2023-01-26,2023-02-02,3145.1,2818.7,2947.4,-10.38,stop_base,7
8056.T,2023-05-09,2023-09-12,3337.6,3636.5,3337.6,8.95,time,126
8056.T,2023-11-02,2024-03-07,3764.0,4331.2,3764.0,15.07,time,126
8056.T,2024-03-18,2024-05-01,4464.9,3716.2,4011.8,-16.77,stop_base,44
8056.T,2024-09-26,2024-11-06,4730.6,4174.9,4202.5,-11.75,stop_base,41
8057.T,2020-07-20,2020-09-01,1181.8,957.9,994.4,-18.95,stop_base,43
8057.T,2023-06-06,2023-10-10,1034.2,1339.4,1034.2,29.52,time,126
8057.T,2023-11-20,2024-03-05,1360.2,1322.5,1360.2,-2.77,stop_breakeven,106
8057.T,2024-06-27,2024-08-05,1569.6,1263.1,1299.8,-19.53,stop_base,39
8058.T,2021-06-25,2021-10-29,876.2,1045.2,876.2,19.29,time,126
8058.T,2021-12-28,2022-05-06,1057.9,1316.9,1057.9,24.49,time,129
8058.T,2022-06-07,2022-06-22,1362.0,1195.1,1210.7,-12.25,stop_base,15
8058.T,2022-08-08,2022-09-26,1228.7,1212.2,1228.7,-1.34,stop_breakeven,49
8058.T,2022-11-04,2022-12-21,1292.1,1286.1,1292.1,-0.46,stop_breakeven,47
8058.T,2023-02-14,2023-03-16,1393.2,1377.9,1393.2,-1.1,stop_breakeven,30
8058.T,2023-04-14,2023-08-18,1544.5,2122.3,1544.5,37.42,time,126
8058.T,2023-09-01,2023-10-04,2248.6,2078.7,2096.3,-7.56,stop_base,33
8058.T,2024-02-07,2024-06-12,2595.6,3034.3,2595.6,16.9,time,126
8058.T,2024-07-04,2024-08-02,3192.6,2675.2,2870.3,-16.2,stop_base,29
8059.T,2020-06-05,2020-10-09,1040.2,1032.1,917.0,-0.77,time,126
8059.T,2020-10-12,2021-02-15,1059.3,1121.8,1059.3,5.91,time,126
8059.T,2021-07-13,2021-11-16,1278.9,1456.3,1278.9,13.88,time,126
8059.T,2023-01-24,2023-05-30,1322.9,1701.4,1322.9,28.61,time,126
8059.T,2023-05-31,2023-07-06,1751.7,1627.4,1651.1,-7.09,stop_base,36
8059.T,2023-11-01,2024-03-06,1786.0,1963.3,1786.0,9.93,time,126
8059.T,2024-06-26,2024-07-10,2221.7,2202.3,2221.7,-0.87,stop_breakeven,14
8059.T,2024-10-04,2024-11-27,2270.4,2262.9,2270.4,-0.33,stop_breakeven,54
8059.T,2024-12-11,2025-03-11,2605.0,2163.3,2190.5,-16.96,stop_base,90
