signal_bar,entry_bar,entry_price,exit_price,pnl_yen,r_mult,hold_bars,direction,session,jst_hour,month,strategy
2024-07-03 13:20:00,2024-07-03 13:25:00,161.615,161.64839285714285,-3248.783877691163,-0.6497567755382326,3,short,NY   21-03JST,22,2024-07,戦略A 順張りショート
2024-07-03 14:05:00,2024-07-03 14:10:00,161.2105,160.96967857142857,12922.575699501767,2.5845151399003536,2,short,NY   21-03JST,23,2024-07,戦略A 順張りショート
2024-07-03 14:10:00,2024-07-03 14:15:00,160.964,161.08492857142858,-5000.000000000419,-1.000000000000084,1,short,NY   21-03JST,23,2024-07,戦略A 順張りショート
2024-07-03 14:25:00,2024-07-03 14:30:00,161.235,161.21932142857142,537.5949057073691,0.10751898114147382,2,short,NY   21-03JST,23,2024-07,戦略A 順張りショート
2024-07-04 01:00:00,2024-07-04 01:05:00,161.2745,161.3945,8219.17808219239,1.643835616438478,4,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-04 01:05:00,2024-07-04 01:10:00,161.2695,161.38739285714286,7358.448506464925,1.471689701292985,3,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-04 01:40:00,2024-07-04 01:45:00,161.3635,161.4900357142857,7490.486257928585,1.498097251585717,38,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-05 01:10:00,2024-07-05 01:15:00,160.9595,161.00842857142857,2339.4808743171893,0.4678961748634379,5,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-05 01:15:00,2024-07-05 01:20:00,160.94,161.00392857142856,2930.5828421737365,0.5861165684347472,4,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-05 04:25:00,2024-07-05 04:30:00,160.618,160.70414285714284,5261.780104711043,1.0523560209422087,15,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-05 04:30:00,2024-07-05 04:35:00,160.6315,160.71539285714286,5940.819423369452,1.1881638846738904,12,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-05 04:35:00,2024-07-05 04:40:00,160.6065,160.71875,8345.724907061694,1.669144981412339,11,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-05 04:40:00,2024-07-05 04:45:00,160.6335,160.72221428571427,6954.087346023116,1.3908174692046231,10,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-05 16:20:00,2024-07-05 16:25:00,160.8045,160.86739285714285,-4999.999999999676,-0.9999999999999353,3,short,NY   21-03JST,1,2024-07,戦略A 順張りショート
2024-07-08 02:35:00,2024-07-08 02:40:00,160.3185,160.31460714285714,-217.73871354381825,-0.04354774270876365,3,long,東京 09-15JST,11,2024-07,戦略B 逆張りロング
2024-07-08 02:40:00,2024-07-08 02:45:00,160.3155,160.3205357142857,301.66880616238984,0.06033376123247797,2,long,東京 09-15JST,11,2024-07,戦略B 逆張りロング
2024-07-11 17:00:00,2024-07-11 17:05:00,158.708,158.81557142857145,-2245.0805008948646,-0.4490161001789729,8,short,NY   21-03JST,2,2024-07,戦略A 順張りショート
2024-07-12 12:45:00,2024-07-12 12:50:00,158.76299999999998,158.76585714285716,-82.88437629617049,-0.016576875259234097,2,short,NY   21-03JST,21,2024-07,戦略A 順張りショート
2024-07-12 12:50:00,2024-07-12 12:55:00,158.613,158.79675,-5000.0000000001655,-1.000000000000033,1,short,NY   21-03JST,21,2024-07,戦略A 順張りショート
2024-07-12 13:10:00,2024-07-12 13:15:00,157.401,157.72214285714287,-5000.000000000126,-1.0000000000000253,1,short,NY   21-03JST,22,2024-07,戦略A 順張りショート
2024-07-12 13:50:00,2024-07-12 13:55:00,158.44,157.7329642857143,10277.748935728185,2.0555497871456367,4,short,NY   21-03JST,22,2024-07,戦略A 順張りショート
2024-07-12 14:00:00,2024-07-12 14:05:00,158.19650000000001,157.7327142857143,6746.674979218479,1.3493349958436958,2,short,NY   21-03JST,23,2024-07,戦略A 順張りショート
2024-07-12 14:10:00,2024-07-12 14:15:00,157.7385,157.90910714285712,-2153.5479217382513,-0.4307095843476503,14,short,NY   21-03JST,23,2024-07,戦略A 順張りショート
2024-07-18 00:45:00,2024-07-18 00:50:00,155.623,156.3029285714286,24445.30046225112,4.889060092450224,17,long,東京 09-15JST,9,2024-07,戦略B 逆張りロング
2024-07-18 05:55:00,2024-07-18 06:00:00,156.031,156.3069642857143,13199.521694568,2.6399043389136,8,long,東京 09-15JST,14,2024-07,戦略B 逆張りロング
2024-07-22 05:20:00,2024-07-22 05:25:00,157.171,157.10564285714284,-5000.000000000467,-1.0000000000000933,1,long,東京 09-15JST,14,2024-07,戦略B 逆張りロング
2024-07-23 00:45:00,2024-07-23 00:50:00,156.67399999999998,156.68257142857144,446.7609828756453,0.08935219657512906,2,long,東京 09-15JST,9,2024-07,戦略B 逆張りロング
2024-07-23 01:00:00,2024-07-23 01:05:00,156.7045,156.7479285714286,2076.502732241343,0.4153005464482686,6,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-23 03:25:00,2024-07-23 03:30:00,156.43,156.351,-5000.000000000514,-1.0000000000001028,1,long,東京 09-15JST,12,2024-07,戦略B 逆張りロング
2024-07-23 03:30:00,2024-07-23 03:35:00,156.391,156.35475,-2331.1897106106176,-0.4662379421221235,3,long,東京 09-15JST,12,2024-07,戦略B 逆張りロング
2024-07-23 03:35:00,2024-07-23 03:40:00,156.375,156.35,-1552.7950310562794,-0.3105590062112559,2,long,東京 09-15JST,12,2024-07,戦略B 逆張りロング
2024-07-23 03:50:00,2024-07-23 03:55:00,156.24,156.2677857142857,1659.556313992291,0.33191126279845823,2,long,東京 09-15JST,12,2024-07,戦略B 逆張りロング
2024-07-23 03:55:00,2024-07-23 04:00:00,156.2815,156.30039285714284,1078.2715042798313,0.21565430085596626,5,long,東京 09-15JST,12,2024-07,戦略B 逆張りロング
2024-07-23 04:05:00,2024-07-23 04:10:00,156.27949999999998,156.29560714285714,871.6660224203342,0.17433320448406683,3,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-23 04:25:00,2024-07-23 04:30:00,156.29149999999998,156.2682142857143,-1228.334589298049,-0.24566691785960978,2,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-23 04:40:00,2024-07-23 04:45:00,156.212,156.36607142857144,8965.087281797492,1.7930174563594985,7,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 01:20:00,2024-07-24 01:25:00,155.346,155.39153571428568,1989.079563180976,0.3978159126361952,2,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-24 01:40:00,2024-07-24 01:45:00,155.2825,155.3947142857143,4257.452574525884,0.8514905149051769,13,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-24 01:45:00,2024-07-24 01:50:00,155.25900000000001,155.38925,4744.990892531474,0.9489981785062948,12,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-24 01:50:00,2024-07-24 01:55:00,155.1825,155.38392857142856,7064.128256512265,1.4128256513024529,11,long,東京 09-15JST,10,2024-07,戦略B 逆張りロング
2024-07-24 02:15:00,2024-07-24 02:20:00,155.33800000000002,155.38392857142858,1610.7214428854327,0.32214428857708655,6,long,東京 09-15JST,11,2024-07,戦略B 逆張りロング
2024-07-24 02:50:00,2024-07-24 02:55:00,155.356,155.2628214285714,-5000.000000000654,-1.0000000000001308,1,long,東京 09-15JST,11,2024-07,戦略B 逆張りロング
2024-07-24 04:00:00,2024-07-24 04:05:00,154.9075,154.80057142857143,-4999.999999999905,-0.9999999999999811,1,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 04:10:00,2024-07-24 04:15:00,154.7785,154.84832142857144,3450.4059301095335,0.6900811860219067,2,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 04:15:00,2024-07-24 04:20:00,154.79000000000002,154.84278571428572,2673.661360346925,0.534732272069385,2,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 04:30:00,2024-07-24 04:35:00,154.7835,154.68367857142857,-5000.000000000306,-1.000000000000061,1,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 04:35:00,2024-07-24 04:40:00,154.73399999999998,154.62935714285712,-5000.000000000485,-1.000000000000097,1,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 04:40:00,2024-07-24 04:45:00,154.6435,154.55864285714284,-3952.0958083834953,-0.790419161676699,2,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 04:45:00,2024-07-24 04:50:00,154.6355,154.55682142857142,-3619.7831087748145,-0.7239566217549629,3,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 04:50:00,2024-07-24 04:55:00,154.631,154.5560357142857,-3424.1435562807924,-0.6848287112561585,2,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 04:55:00,2024-07-24 05:00:00,154.611,154.49685714285712,-5000.000000000534,-1.0000000000001068,1,long,東京 09-15JST,13,2024-07,戦略B 逆張りロング
2024-07-24 05:05:00,2024-07-24 05:10:00,154.4235,154.65067857142856,9173.637150273724,1.8347274300547447,3,long,東京 09-15JST,14,2024-07,戦略B 逆張りロング
2024-07-24 12:10:00,2024-07-24 12:15:00,154.10199999999998,154.01114285714286,4200.79260237694,0.840158520475388,2,short,NY   21-03JST,21,2024-07,戦略A 順張りショート
2024-07-24 12:15:00,2024-07-24 12:20:00,153.9495,154.03875000000002,-3757.8947368431363,-0.7515789473686273,2,short,NY   21-03JST,21,2024-07,戦略A 順張りショート
2024-07-24 12:45:00,2024-07-24 12:50:00,153.9625,153.8858214285714,3047.1189327291127,0.6094237865458225,2,short,NY   21-03JST,21,2024-07,戦略A 順張りショート
