label,n,μ(%),Skew,Kurt,VaR95(%),CVaR95(%),P(r>σ)%,P(r<-σ)%,TailRatio,OmegaRatio,Strategy,score_short,score_long,pair,base,quote,session,group
Q10+ac<0,670,-0.00195,-3.6151,57.29,-0.1401,-0.32194,5.37,5.82,0.9805,0.9478,▼SHORT（強）,4,0,GBPJPY,GBP,JPY,"深夜
03-09JST",Q10+ac<0
全BreakDown,19938,0.0021,-0.818,50.743,-0.18085,-0.31346,8.35,8.12,0.9691,1.051,▽short（中）,2,2,AUDJPY,AUD,JPY,"東京
09-15JST",全BreakDown
Q25,6406,-0.00312,-2.5964,40.195,-0.22503,-0.38418,8.29,9.41,0.8654,0.9387,▼SHORT（強）,4,0,AUDJPY,AUD,JPY,"東京
09-15JST",Q25
Q10,2662,-0.0079,-2.28,27.742,-0.27683,-0.47156,7.36,10.97,0.8035,0.8757,▼SHORT（強）,4,0,AUDJPY,AUD,JPY,"東京
09-15JST",Q10
Q10+ac>0,1051,-0.00414,-3.1087,33.278,-0.26342,-0.53345,6.18,8.09,0.8658,0.9348,▼SHORT（強）,4,0,AUDJPY,AUD,JPY,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1611,-0.01035,-1.3016,18.079,-0.28227,-0.43051,8.69,13.16,0.7571,0.8372,▼SHORT（強）,4,0,AUDJPY,AUD,JPY,"東京
09-15JST",Q10+ac<0
全BreakDown,20297,0.00169,9.5053,461.258,-0.17365,-0.28302,7.56,7.97,0.9403,1.0435,▲LONG（強）,1,3,AUDJPY,AUD,JPY,"欧州
15-21JST",全BreakDown
Q25,6651,-0.00302,-1.9503,41.576,-0.20869,-0.3423,9.4,10.66,0.8805,0.9369,▼SHORT（強）,4,0,AUDJPY,AUD,JPY,"欧州
15-21JST",Q25
Q10,2793,-0.00647,0.0696,16.276,-0.26165,-0.39473,10.13,12.07,0.8278,0.8894,▼SHORT（強）,3,0,AUDJPY,AUD,JPY,"欧州
15-21JST",Q10
Q10+ac>0,1105,-0.01559,-0.2108,1.183,-0.27676,-0.35864,10.95,15.75,0.7844,0.7557,▼SHORT（強）,4,0,AUDJPY,AUD,JPY,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1688,-0.0005,0.18,22.389,-0.24905,-0.41533,9.24,10.37,0.8665,0.9909,▼SHORT（強）,3,0,AUDJPY,AUD,JPY,"欧州
15-21JST",Q10+ac<0
全BreakDown,20236,0.00163,0.0516,13.052,-0.18865,-0.30478,10.05,10.33,0.9812,1.0384,△long（中）,1,2,AUDJPY,AUD,JPY,"NY
21-03JST",全BreakDown
Q25,6984,-0.0012,0.4593,12.086,-0.22934,-0.34728,10.12,10.85,0.9032,0.9767,▼SHORT（強）,3,1,AUDJPY,AUD,JPY,"NY
21-03JST",Q25
Q10,3307,-0.00533,1.0665,11.378,-0.26228,-0.38045,9.59,11.22,0.8947,0.912,▼SHORT（強）,3,1,AUDJPY,AUD,JPY,"NY
21-03JST",Q10
Q10+ac>0,1231,-0.00892,0.4655,7.626,-0.26701,-0.39187,10.15,13.0,0.8394,0.8555,▼SHORT（強）,3,1,AUDJPY,AUD,JPY,"NY
21-03JST",Q10+ac>0
