pair,base,quote,condition,label,n,mean,std,skewness,kurtosis,p5,p95
AUDUSD,AUD,USD,|強弱差|上位10%,|強弱差| 上位10%,19514,-5.461837228336358e-07,0.000607456474211568,0.006094047070751365,6.538359371553176,-0.0009360773258937903,0.00092877392771878
AUDUSD,AUD,USD,|強弱差|上位5%,|強弱差| 上位5%,9757,-3.1445708254321014e-06,0.0006942770516832636,-0.0739045233420003,5.775019961666208,-0.0010889219379960993,0.0010433774990313341
AUDUSD,AUD,USD,AUD強,AUD強 上位10%（正の強弱差）,9319,-5.641639873399465e-06,0.0006118316076992894,-0.1025988769371049,7.764650084007943,-0.0009228027638134276,0.0009417920093650062
AUDUSD,AUD,USD,USD強,USD強 上位10%（負の強弱差）,10195,4.111448044417272e-06,0.000603421909187758,0.11030842733387299,5.345011142408012,-0.0009566243524432199,0.0009193073834986726
NZDUSD,NZD,USD,全期間,全期間（3年）,208603,-1.0939925471275975e-06,0.00043151989680513964,-0.15212993297394878,52.94885566918122,-0.000626541184256664,0.0006209852544328456
NZDUSD,NZD,USD,|強弱差|上位10%,|強弱差| 上位10%,20861,-2.9995788171565796e-07,0.0006662799082237359,0.8235032479206715,23.62571810167564,-0.0009820831501756396,0.0009832842483488116
NZDUSD,NZD,USD,|強弱差|上位5%,|強弱差| 上位5%,10431,-2.3485800731120657e-06,0.000774554859566146,1.0641094209861812,22.927662299730958,-0.0011456310332688116,0.0011326975887588687
NZDUSD,NZD,USD,NZD強,NZD強 上位10%（正の強弱差）,10069,-1.4579962193822269e-05,0.0006860825830451344,1.2936595188067723,34.668531160543594,-0.0009853455666906435,0.0010151492994682717
NZDUSD,NZD,USD,USD強,USD強 上位10%（負の強弱差）,10792,1.3023370826457198e-05,0.0006470055268587766,0.3070379181751791,10.545866548451121,-0.0009756040512168976,0.0009578436731132829
EURGBP,EUR,GBP,全期間,全期間（3年）,206882,-3.301494978464712e-08,0.0002459582255330131,2.8407251487154777,271.97831207150995,-0.00034446751941695015,0.0003434458774846623
EURGBP,EUR,GBP,|強弱差|上位10%,|強弱差| 上位10%,20689,2.8249606104745524e-06,0.0004370079658657126,5.096180764617957,237.1632004145201,-0.0005873105087012368,0.0005920862006700364
EURGBP,EUR,GBP,|強弱差|上位5%,|強弱差| 上位5%,10345,1.2818423017465043e-06,0.0005290831370399733,5.691549438522586,219.33464580448262,-0.0006864774830704395,0.000673249968885506
EURGBP,EUR,GBP,EUR強,EUR強 上位10%（正の強弱差）,10712,-6.523782805679158e-06,0.0004513119904288585,7.728388519421614,355.3232361111486,-0.0005899575578653554,0.0005817138008930513
EURGBP,EUR,GBP,GBP強,GBP強 上位10%（負の強弱差）,9977,1.2862420716101346e-05,0.0004209011395306083,1.6101551388430968,67.99181445390919,-0.0005839067816103173,0.0005992406278094694
EURAUD,EUR,AUD,全期間,全期間（3年）,195102,2.599788033186776e-07,0.00031005896000491957,0.17183248537831222,29.04665257063695,-0.0004661631227530068,0.0004678422314989338
EURAUD,EUR,AUD,|強弱差|上位10%,|強弱差| 上位10%,19511,3.1389993218018085e-06,0.0004553419404402709,1.0233646681169815,28.35080910127003,-0.0006897013500150594,0.0006962170202199966
EURAUD,EUR,AUD,|強弱差|上位5%,|強弱差| 上位5%,9756,3.0586946809655534e-06,0.0004940283929198634,0.18795943477523555,4.518216052685132,-0.0007746371352244069,0.0007794270609711133
EURAUD,EUR,AUD,EUR強,EUR強 上位10%（正の強弱差）,10139,5.999398330128748e-08,0.0004450943528174724,0.22674881631145088,3.4402853255275128,-0.0006804217043332467,0.0007176084772593663
EURAUD,EUR,AUD,AUD強,AUD強 上位10%（負の強弱差）,9372,6.469988985380213e-06,0.0004661754952086406,1.7701327439494534,50.57951368758848,-0.0006982885345705386,0.0006809092780515556
AUDNZD,AUD,NZD,全期間,全期間（3年）,198521,2.754736402372576e-07,0.00021737815452222157,0.29920596631789237,72.7753809412939,-0.00031694746742848387,0.0003162526794888356
AUDNZD,AUD,NZD,|強弱差|上位10%,|強弱差| 上位10%,19852,-1.850606777073257e-06,0.0003052908396893551,-0.7870579350701543,27.44466501586987,-0.0004459508159980586,0.00044548220604300387
AUDNZD,AUD,NZD,|強弱差|上位5%,|強弱差| 上位5%,9926,-4.5460450151877115e-06,0.00033484098245043246,0.16903116911368854,12.758174241637924,-0.0004940322974393728,0.0004864043153939748
AUDNZD,AUD,NZD,AUD強,AUD強 上位10%（正の強弱差）,9946,-2.135033000169819e-05,0.0003149659779761162,-1.5919320620035267,38.780685125409434,-0.0004790025939832002,0.0004207689396537738
AUDNZD,AUD,NZD,NZD強,NZD強 上位10%（負の強弱差）,9906,1.7727855487424985e-05,0.00029397522586547083,0.22865738952916995,12.054011776089654,-0.0004139081513735622,0.00047535078078112935
