pair,base,quote,session,horizon,n,mean,skew,exkurt,lefttail,downrate,tstat,pval,judge
CHFJPY,CHF,JPY,NY   21-03,6,20298,0.0024961764056339267,-0.37706588239701594,16.401123863321047,0.9897280879084798,47.46773081091733,3.6794277142428125,0.0002343623451119344,△long（弱）
CHFJPY,CHF,JPY,NY   21-03,12,20298,0.0030151476729426497,-0.46372340553049235,10.734523411472596,1.0038042255889448,47.69928071731205,3.263647714359932,0.001101697274105182,△long（弱）
CHFJPY,CHF,JPY,NY   21-03,24,20298,0.0031193380364442753,-0.7621756236948208,9.468862674927552,1.0186775889476245,47.33963937333727,2.4657535122492695,0.013680746398342207,△long（弱）
CHFJPY,CHF,JPY,深夜 03-09,6,19087,0.0029819092441555834,-1.0392397232848345,102.50442803846317,0.9315488779064593,46.55000785875203,5.822024353466669,5.907136398360119e-09,△long（弱）
CHFJPY,CHF,JPY,深夜 03-09,12,19085,0.0057212552360635235,-1.3063930385558673,73.564529428955,0.9035345665934,45.85276395074666,7.829898243957551,5.136707761785251e-15,△long（弱）
CHFJPY,CHF,JPY,深夜 03-09,24,19082,0.011661198068851812,0.8584475641295863,25.090327711861573,0.8683585131470057,45.194424064563464,11.361978485361371,8.063434688111334e-30,▲LONG
GBPUSD,GBP,USD,東京 09-15,6,20055,0.00115703316938673,1.54753191070554,84.50358802264792,0.9713687953214071,49.025180752929444,2.837032437618384,0.00455806390812067,─
GBPUSD,GBP,USD,東京 09-15,12,20055,0.0022999568076187064,0.37549012657382574,56.8363748518848,0.9257164007098155,48.69608576414859,3.902278043957829,9.560283569884061e-05,▲LONG
GBPUSD,GBP,USD,東京 09-15,24,20055,0.002713749784492406,0.1611806152498743,27.22492150577251,0.9447078862714484,48.735976065818996,3.048826974147385,0.0023003608502176645,△long（弱）
GBPUSD,GBP,USD,欧州 15-21,6,20707,-0.00019925217718516728,-0.7084655240015196,15.454893186088835,0.9967255423149909,49.6015840054088,-0.30429505185196326,0.7609061725214302,─
GBPUSD,GBP,USD,欧州 15-21,12,20707,-0.0025791721661874833,-0.6690478640542149,9.307710491628693,1.0517391626103887,49.96378036412808,-2.7073472509507552,0.006787891666278768,─
GBPUSD,GBP,USD,欧州 15-21,24,20707,-0.005162461521059099,-0.20138047540622248,7.300455556937944,1.0740631461899106,49.91548751629883,-3.686180876056183,0.00022822553908236802,─
GBPUSD,GBP,USD,NY   21-03,6,20430,5.7346279670744885e-05,0.09582288100581897,16.17208532399708,1.0050935317918033,49.647577092511014,0.07135928378107209,0.9431125123212526,─
GBPUSD,GBP,USD,NY   21-03,12,20430,0.00017713001780267,0.2315251843472045,11.162446729303973,1.0195132943163876,49.500734214390604,0.16296332789208853,0.8705489206243897,─
GBPUSD,GBP,USD,NY   21-03,24,20430,0.0005615684679375142,0.5207435127816195,8.296697075265525,1.01117686221217,49.593734703866865,0.38468438112557785,0.7004752728134285,─
GBPUSD,GBP,USD,深夜 03-09,6,18746,0.0010277542106470992,0.013097762826025384,104.03722659222063,1.0315383768074744,46.687293289235036,2.3305312389510506,0.01978864407468157,△long（弱）
