signal_dt,entry_dt,exit_dt,session,direction,filter,entry_price,exit_price,sl_price,lot_size,held_bars,exit_reason,pnl_pips,pnl_yen,r_mult,atr_val,eur_jpy_diff,ac_val,period
2023-05-03 22:35:00,2023-05-03 22:40:00,2023-05-03 23:00:00,NY   21-03JST,LONG,Q10+ac<0,148.8605,148.91132,148.76232,5.09,4,stop,5.08,2588.0,0.518,0.09818,-0.005913,-0.5618,IS
2023-05-03 22:40:00,2023-05-03 22:45:00,2023-05-03 23:00:00,NY   21-03JST,LONG,Q10+ac<0,148.943,148.91111,148.84461,5.08,3,stop,-3.19,-1621.0,-0.324,0.09839,-0.005221,-0.5031,IS
2023-05-03 22:45:00,2023-05-03 22:50:00,2023-05-03 23:00:00,NY   21-03JST,LONG,Q10+ac<0,148.9215,148.90771,148.81971,4.91,2,stop,-1.38,-677.0,-0.135,0.10179,-0.00542,-0.451,IS
2023-05-03 22:50:00,2023-05-03 22:55:00,2023-05-03 23:05:00,NY   21-03JST,LONG,Q10+ac<0,148.925,148.87954,148.82104,4.81,2,stop,-4.55,-2187.0,-0.437,0.10396,-0.005019,-0.4595,IS
2023-05-04 14:35:00,2023-05-04 14:40:00,2023-05-04 14:50:00,NY   21-03JST,LONG,Q10+ac<0,147.6625,147.58718,147.43268,2.18,2,stop,-7.53,-1639.0,-0.328,0.22982,-0.005442,-0.3382,IS
2023-05-04 14:45:00,2023-05-04 14:50:00,2023-05-04 14:55:00,NY   21-03JST,LONG,Q10+ac<0,147.5355,147.31482,147.31732,2.29,1,stop,-22.07,-5057.0,-1.011,0.21818,-0.008309,-0.3037,IS
2023-05-04 14:50:00,2023-05-04 14:55:00,2023-05-04 15:00:00,NY   21-03JST,LONG,Q10+ac<0,147.4905,147.28232,147.28482,2.43,1,stop,-20.82,-5061.0,-1.012,0.20568,-0.00847,-0.2158,IS
2023-05-04 14:55:00,2023-05-04 15:00:00,2023-05-04 15:30:00,NY   21-03JST,LONG,Q10+ac<0,147.303,147.33882,147.08482,2.29,6,stop,3.58,821.0,0.164,0.21818,-0.009893,-0.3887,IS
2023-05-04 15:00:00,2023-05-04 15:05:00,2023-05-04 15:30:00,NY   21-03JST,LONG,Q10+ac<0,147.445,147.34239,147.23039,2.33,5,stop,-10.26,-2391.0,-0.478,0.21461,-0.009293,-0.4631,IS
2023-05-04 15:05:00,2023-05-04 15:10:00,2023-05-04 15:30:00,NY   21-03JST,LONG,Q10+ac<0,147.475,147.34579,147.26379,2.37,4,stop,-12.92,-3059.0,-0.612,0.21121,-0.011486,-0.1671,IS
2023-05-04 15:10:00,2023-05-04 15:15:00,2023-05-04 15:30:00,NY   21-03JST,LONG,Q10+ac<0,147.4615,147.35725,147.26175,2.5,3,stop,-10.42,-2610.0,-0.522,0.19975,-0.01162,-0.2294,IS
2023-05-04 15:15:00,2023-05-04 15:20:00,2023-05-04 15:30:00,NY   21-03JST,LONG,Q10+ac<0,147.4655,147.36061,147.26911,2.55,2,stop,-10.49,-2670.0,-0.534,0.19639,-0.011285,-0.2519,IS
2023-05-04 15:20:00,2023-05-04 15:25:00,2023-05-04 15:45:00,NY   21-03JST,LONG,Q10+ac<0,147.5095,147.31725,147.31975,2.64,4,stop,-19.23,-5066.0,-1.013,0.18975,-0.009797,-0.2308,IS
2023-05-04 15:25:00,2023-05-04 15:30:00,2023-05-04 15:45:00,NY   21-03JST,LONG,Q10+ac<0,147.4875,147.30904,147.31154,2.84,3,stop,-17.85,-5071.0,-1.014,0.17596,-0.009964,-0.2103,IS
2023-05-04 15:30:00,2023-05-04 15:35:00,2023-05-04 15:45:00,NY   21-03JST,LONG,Q10+ac<0,147.3575,147.30564,147.18164,2.84,2,stop,-5.19,-1474.0,-0.295,0.17586,-0.011944,-0.1668,IS
2023-05-04 15:35:00,2023-05-04 15:40:00,2023-05-04 15:50:00,NY   21-03JST,LONG,Q10+ac<0,147.418,147.34325,147.24775,2.94,2,stop,-7.47,-2195.0,-0.439,0.17025,-0.008291,-0.25,IS
2023-05-04 15:45:00,2023-05-04 15:50:00,2023-05-04 16:10:00,NY   21-03JST,LONG,Q10+ac<0,147.2875,147.18739,147.11589,2.91,4,stop,-10.01,-2917.0,-0.583,0.17161,-0.00671,-0.2804,IS
2023-05-04 15:50:00,2023-05-04 15:55:00,2023-05-04 16:10:00,NY   21-03JST,LONG,Q10+ac<0,147.2505,147.18593,147.07743,2.89,3,stop,-6.46,-1865.0,-0.373,0.17307,-0.007687,-0.3311,IS
2023-05-04 16:05:00,2023-05-04 16:10:00,2023-05-04 16:35:00,NY   21-03JST,LONG,Q10+ac<0,147.239,147.31764,147.10464,3.72,5,stop,7.86,2927.0,0.585,0.13436,-0.006134,-0.1672,IS
2023-05-04 16:10:00,2023-05-04 16:15:00,2023-05-04 16:35:00,NY   21-03JST,LONG,Q10+ac<0,147.1715,147.32329,147.04279,3.88,4,stop,15.18,5896.0,1.179,0.12871,-0.005932,-0.1312,IS
2023-05-10 17:40:00,2023-05-10 17:45:00,2023-05-10 18:30:00,NY   21-03JST,LONG,Q10+ac<0,147.06,147.3215,146.999,8.2,9,stop,26.15,21434.0,4.287,0.061,-0.004939,-0.1002,IS
2023-05-11 11:40:00,2023-05-11 11:45:00,2023-05-11 11:55:00,欧州 15-21JST,SHORT,Q10+ac>0,146.5915,146.618,146.6855,5.32,2,stop,-2.65,-1410.0,-0.282,0.094,-0.005541,0.2222,IS
2023-05-11 11:45:00,2023-05-11 11:50:00,2023-05-11 11:55:00,欧州 15-21JST,SHORT,Q10+ac>0,146.563,146.66204,146.65954,5.18,1,stop,-9.9,-5129.0,-1.026,0.09654,-0.005654,0.1952,IS
2023-05-11 12:35:00,2023-05-11 12:40:00,2023-05-11 12:50:00,NY   21-03JST,LONG,Q10+ac<0,146.549,146.38857,146.39107,3.17,2,stop,-16.04,-5079.0,-1.016,0.15793,-0.00493,-0.2685,IS
2023-05-11 12:40:00,2023-05-11 12:45:00,2023-05-11 12:55:00,NY   21-03JST,LONG,Q10+ac<0,146.4665,146.32721,146.30321,3.06,2,stop,-13.93,-4265.0,-0.853,0.16329,-0.005363,-0.3079,IS
2023-05-11 12:45:00,2023-05-11 12:50:00,2023-05-11 12:55:00,NY   21-03JST,LONG,Q10+ac<0,146.4805,146.31479,146.31729,3.06,1,stop,-16.57,-5077.0,-1.015,0.16321,-0.004877,-0.3094,IS
2023-05-11 12:50:00,2023-05-11 12:55:00,2023-05-11 13:30:00,NY   21-03JST,LONG,Q10+ac<0,146.333,146.22904,146.16654,3.0,7,stop,-10.4,-3123.0,-0.625,0.16646,-0.005698,-0.3341,IS
2023-05-11 12:55:00,2023-05-11 13:00:00,2023-05-11 13:30:00,NY   21-03JST,LONG,Q10+ac<0,146.328,146.226,146.1585,2.95,6,stop,-10.2,-3009.0,-0.602,0.1695,-0.005365,-0.3291,IS
2023-05-11 13:00:00,2023-05-11 13:05:00,2023-05-11 13:30:00,NY   21-03JST,LONG,Q10+ac<0,146.269,146.22979,146.10329,3.02,5,stop,-3.92,-1183.0,-0.237,0.16571,-0.005658,-0.3371,IS
2023-05-12 09:15:00,2023-05-12 09:20:00,2023-05-12 09:25:00,欧州 15-21JST,SHORT,Q10+ac>0,146.8805,146.95146,146.94896,7.3,1,stop,-7.1,-5183.0,-1.037,0.06846,-0.005087,0.1207,IS
2023-05-12 09:20:00,2023-05-12 09:25:00,2023-05-12 09:30:00,欧州 15-21JST,SHORT,Q10+ac>0,146.8785,146.94571,146.94321,7.73,1,stop,-6.72,-5193.0,-1.039,0.06471,-0.004899,0.1676,IS
2023-05-31 06:10:00,2023-05-31 06:15:00,2023-05-31 06:20:00,欧州 15-21JST,SHORT,Q10+ac>0,149.056,149.16143,149.15893,4.86,1,stop,-10.54,-5121.0,-1.024,0.10293,-0.004843,0.2386,IS
2023-05-31 15:20:00,2023-05-31 15:25:00,2023-05-31 15:35:00,NY   21-03JST,LONG,Q10+ac<0,148.872,148.89886,148.74336,3.89,2,stop,2.69,1044.0,0.209,0.12864,-0.005495,-0.3521,IS
2023-05-31 15:25:00,2023-05-31 15:30:00,2023-05-31 15:55:00,NY   21-03JST,LONG,Q10+ac<0,148.876,148.87596,148.76396,4.46,5,stop,-0.0,-2.0,-0.0,0.11204,-0.005524,-0.3537,IS
