leader,follower,lag,state,trades,win_rate,pf,total_pnl,max_dd,ev_bp
NZDJPY,AUDJPY,9,MR,19712,0.1291599025974026,0.09167219005331437,-781.3047306499484,-781.2473770707259,-3.9635994858459234
NZDJPY,AUDJPY,9,NO_TRADE,110687,0.13449637265442194,0.09472245828149517,-4399.906154714497,-4399.8888815795335,-3.9750884518638117
NZDJPY,AUDJPY,12,TREND,2719,0.18425891872011768,0.15913763780553752,-103.01240963582781,-102.93840140789534,-3.788613815219853
NZDJPY,AUDJPY,12,MR,19709,0.1288751331878837,0.09342982183542477,-783.0445846889845,-783.000395969206,-3.9730305174741716
NZDJPY,AUDJPY,12,NO_TRADE,110687,0.13371940697642903,0.09434541533203036,-4395.886155010604,-4395.865293652097,-3.971456589310943
NZDJPY,CHFJPY,2,TREND,1239,0.11218724778046812,0.07487370760298019,-53.02764914339886,-52.987334732606136,-4.279874829975695
NZDJPY,CHFJPY,2,MR,21218,0.0859647469129984,0.05555003361202046,-849.16644506664,-849.119700172425,-4.002104086467339
NZDJPY,CHFJPY,2,NO_TRADE,121806,0.08665418780684038,0.056225208281255275,-4893.86961122607,-4893.801095131989,-4.01775742674915
CHFJPY,USDJPY,6,TREND,2156,0.13218923933209648,0.09403406741821019,-84.36576537581868,-84.3231613673815,-3.9130688949823136
CHFJPY,USDJPY,6,MR,18873,0.08525406665606952,0.06782712910044655,-743.4596575848489,-743.4760767897023,-3.939276519815868
CHFJPY,USDJPY,6,NO_TRADE,122984,0.08479964873479477,0.06162610941355592,-4929.634324315113,-4929.5708704256685,-4.008354195923952
CHFJPY,USDJPY,9,TREND,2156,0.1280148423005566,0.1030254739498657,-83.49883031942996,-83.46471910862776,-3.872858549138681
CHFJPY,USDJPY,9,MR,18873,0.08509510941556721,0.06627805586275623,-751.2293333711798,-751.2123235223875,-3.9804447272356263
CHFJPY,USDJPY,9,NO_TRADE,122981,0.08644424748538392,0.061325237309820535,-4918.69115512833,-4918.6876386393415,-3.9995537157189567
CHFJPY,GBPJPY,1,TREND,2456,0.16245928338762214,0.14288155641441963,-98.86103261263956,-98.85847614774687,-4.025286344162849
CHFJPY,GBPJPY,1,MR,20098,0.10448800875709026,0.07675833072574785,-815.226571466227,-815.2473115195615,-4.056257197065515
CHFJPY,GBPJPY,1,NO_TRADE,119512,0.10439119084276056,0.07512083482871162,-4825.9047556825335,-4825.87855562514,-4.038008531095232
CHFJPY,GBPJPY,9,TREND,2456,0.1563517915309446,0.12514567515850747,-103.29748371095897,-103.29333518381418,-4.205923603866407
CHFJPY,GBPJPY,9,MR,20098,0.1087172853020201,0.08689662052209546,-791.3250934145118,-791.2712948004468,-3.9373325376381323
CHFJPY,GBPJPY,9,NO_TRADE,119504,0.10640648011782032,0.07557656951378842,-4773.145490133067,-4773.099390409043,-3.9941303137410187
CHFJPY,AUDJPY,1,TREND,2740,0.16934306569343066,0.1408524780249699,-114.75556399982176,-114.92618384330345,-4.188159270066487
CHFJPY,AUDJPY,1,MR,19698,0.1294040004061326,0.09385994930992735,-796.5075984772363,-796.4472622110238,-4.04359629646277
CHFJPY,AUDJPY,1,NO_TRADE,110823,0.12959403733881955,0.09044257167453087,-4484.023770876918,-4483.934090952177,-4.046112964706711
CHFJPY,NZDJPY,1,TREND,2764,0.17836468885672938,0.14871809386002782,-108.26997617818468,-108.32016707938286,-3.9171481974741202
CHFJPY,NZDJPY,1,MR,20953,0.1291939101799265,0.09131376880145549,-843.6634551300948,-843.6056825429899,-4.0264566178117445
CHFJPY,NZDJPY,1,NO_TRADE,120697,0.13030149879450192,0.09081167523525997,-4889.460255289555,-4889.637527905905,-4.051020535133064
CHFJPY,NZDJPY,6,TREND,2764,0.17293777134587554,0.1410102551497289,-108.65708871196382,-108.651552104524,-3.931153716062367
CHFJPY,NZDJPY,6,MR,20953,0.12943253949315134,0.0913719995353771,-841.103098273707,-841.0827862510878,-4.014237093846738
CHFJPY,NZDJPY,6,NO_TRADE,120692,0.13517880224041362,0.09393381086583195,-4813.309110714302,-4813.280528556565,-3.9880929230722018
