leader,follower,lag,corr,pval,n
AUDJPY,NZDJPY,1,-0.006250425421819331,0.022105330387732575,134061.0
AUDJPY,NZDJPY,2,-4.8877015256932124e-05,0.9857220085859305,134060.0
AUDJPY,NZDJPY,3,-0.010868835426059814,6.903037289616763e-05,134059.0
AUDJPY,NZDJPY,4,0.0013061364193478473,0.6324910369363017,134058.0
AUDJPY,NZDJPY,5,0.0007408742388947193,0.7861913114743803,134057.0
AUDJPY,NZDJPY,6,-0.0003560000024802922,0.8962947332647043,134056.0
AUDJPY,NZDJPY,7,0.0012345571341931733,0.6512611974474523,134055.0
AUDJPY,NZDJPY,8,-0.00717882444681326,0.008578252314711307,134054.0
AUDJPY,NZDJPY,9,0.00943544500691661,0.000550971545123897,134053.0
AUDJPY,NZDJPY,10,-0.00408604937450958,0.13464788455828036,134052.0
AUDJPY,NZDJPY,11,0.00028140592075318017,0.9179390634109715,134051.0
AUDJPY,NZDJPY,12,0.004056252696595766,0.13751692803228746,134050.0
AUDJPY,CHFJPY,1,0.0036847594184040403,0.17733648623553167,134033.0
AUDJPY,CHFJPY,2,-0.0017130690218895577,0.5305571737470823,134032.0
AUDJPY,CHFJPY,3,-0.009117017281845555,0.0008444434155866479,134031.0
AUDJPY,CHFJPY,4,0.0019316359666141803,0.4794620349485642,134030.0
AUDJPY,CHFJPY,5,-0.00032461783743318424,0.9054010150087799,134029.0
AUDJPY,CHFJPY,6,-0.0016681145518467944,0.5414056816986872,134028.0
AUDJPY,CHFJPY,7,0.0027484971525728007,0.314315030486748,134027.0
AUDJPY,CHFJPY,8,-0.00541748605765135,0.04733237217274872,134026.0
AUDJPY,CHFJPY,9,0.011806705233411686,1.5428701161883185e-05,134025.0
AUDJPY,CHFJPY,10,-0.00028597145223241915,0.9166208929746203,134024.0
AUDJPY,CHFJPY,11,-0.0027550240572732946,0.3131744487868292,134023.0
AUDJPY,CHFJPY,12,0.0043937112827758485,0.10772851829153313,134022.0
NZDJPY,USDJPY,1,-0.004336784268970982,0.09872253691842149,144945.0
NZDJPY,USDJPY,2,-0.0002554822335862425,0.9225158618975982,144944.0
NZDJPY,USDJPY,3,-0.006946457272127056,0.008178239732153734,144943.0
NZDJPY,USDJPY,4,0.007770924143404399,0.00309133190429885,144942.0
NZDJPY,USDJPY,5,0.0005665051239620193,0.8292426569155519,144941.0
NZDJPY,USDJPY,6,0.0022416144094284858,0.393438393305008,144940.0
NZDJPY,USDJPY,7,0.003398894274127584,0.1956720915785667,144939.0
NZDJPY,USDJPY,8,-0.0021525539549829935,0.41250875886561866,144938.0
NZDJPY,USDJPY,9,0.006043406702469315,0.021405093490459427,144937.0
NZDJPY,USDJPY,10,0.004790116134000196,0.06821044442831269,144936.0
NZDJPY,USDJPY,11,-0.0016520114254740235,0.5294006457987449,144935.0
NZDJPY,USDJPY,12,0.00398608765236198,0.12913937983561644,144934.0
NZDJPY,EURJPY,1,-0.001876801724767059,0.47464449905642736,145115.0
NZDJPY,EURJPY,2,-0.004473974135088787,0.08832467834218634,145114.0
NZDJPY,EURJPY,3,-0.004940798759381791,0.059818591794256894,145113.0
NZDJPY,EURJPY,4,0.006639378092577961,0.011432867205326882,145112.0
NZDJPY,EURJPY,5,0.0015904997340586342,0.544600291674948,145111.0
NZDJPY,EURJPY,6,-0.00011670146646974877,0.9645416698626516,145110.0
NZDJPY,EURJPY,7,0.001509839987273187,0.5651956939586248,145109.0
NZDJPY,EURJPY,8,-0.0011136073685388114,0.6714174654104367,145108.0
NZDJPY,EURJPY,9,0.004809740228741781,0.06692684746229344,145107.0
NZDJPY,EURJPY,10,0.00132347550030419,0.614159832331439,145106.0
NZDJPY,EURJPY,11,-0.0016764674659018738,0.5230793843961635,145105.0
NZDJPY,EURJPY,12,0.005909497335235501,0.02438068281557981,145104.0
NZDJPY,GBPJPY,1,-0.007433348283065956,0.004952684990680112,142912.0
NZDJPY,GBPJPY,2,-0.007602847468677063,0.004050982219008387,142911.0
NZDJPY,GBPJPY,3,-0.002336633500494784,0.37706269898315004,142910.0
NZDJPY,GBPJPY,4,0.004904035075411973,0.0637559931787508,142909.0
NZDJPY,GBPJPY,5,-0.0017187150940002351,0.5158707365087929,142908.0
NZDJPY,GBPJPY,6,0.001382519941426419,0.6012315679110418,142907.0
NZDJPY,GBPJPY,7,0.0015157916642411034,0.5666388204735833,142906.0
NZDJPY,GBPJPY,8,-0.0029598100691106033,0.2631900207060293,142905.0
NZDJPY,GBPJPY,9,0.007177555929392533,0.006661330328222881,142904.0
NZDJPY,GBPJPY,10,-0.0003047716603954459,0.9082784016321392,142903.0
NZDJPY,GBPJPY,11,-0.003514518968435903,0.1839917475485338,142902.0
NZDJPY,GBPJPY,12,0.004022477947115587,0.12836527802905734,142901.0
NZDJPY,AUDJPY,1,-0.005949401989080123,0.029381229969935786,134061.0
