pair,threshold,direction,n,max_bars,fib,reach_rate,sl_rate,cut_pips
AUDUSD,0.03,down,2255,2,0.618,40.58,45.59,10.6
AUDUSD,0.03,down,2255,2,0.786,31.31,45.59,10.6
AUDUSD,0.03,down,2255,3,0.236,71.22,51.26,10.6
AUDUSD,0.03,down,2255,3,0.382,62.35,51.26,10.6
AUDUSD,0.03,down,2255,3,0.5,54.86,51.26,10.6
AUDUSD,0.03,down,2255,3,0.618,47.41,51.26,10.6
AUDUSD,0.03,down,2255,3,0.786,37.29,51.26,10.6
AUDUSD,0.03,down,2255,5,0.236,76.63,59.11,10.6
AUDUSD,0.03,down,2255,5,0.382,68.96,59.11,10.6
AUDUSD,0.03,down,2255,5,0.5,62.0,59.11,10.6
AUDUSD,0.03,down,2255,5,0.618,55.3,59.11,10.6
AUDUSD,0.03,down,2255,5,0.786,46.16,59.11,10.6
AUDUSD,0.03,up,2131,1,0.236,59.08,37.4,10.6
AUDUSD,0.03,up,2131,1,0.382,47.35,37.4,10.6
AUDUSD,0.03,up,2131,1,0.5,39.98,37.4,10.6
AUDUSD,0.03,up,2131,1,0.618,32.99,37.4,10.6
AUDUSD,0.03,up,2131,1,0.786,23.74,37.4,10.6
AUDUSD,0.03,up,2131,2,0.236,66.49,46.79,10.6
AUDUSD,0.03,up,2131,2,0.382,55.84,46.79,10.6
AUDUSD,0.03,up,2131,2,0.5,48.24,46.79,10.6
AUDUSD,0.03,up,2131,2,0.618,40.69,46.79,10.6
AUDUSD,0.03,up,2131,2,0.786,31.44,46.79,10.6
AUDUSD,0.03,up,2131,3,0.236,71.8,51.38,10.6
AUDUSD,0.03,up,2131,3,0.382,61.43,51.38,10.6
AUDUSD,0.03,up,2131,3,0.5,54.76,51.38,10.6
AUDUSD,0.03,up,2131,3,0.618,46.27,51.38,10.6
AUDUSD,0.03,up,2131,3,0.786,37.17,51.38,10.6
AUDUSD,0.03,up,2131,5,0.236,77.29,59.36,10.6
AUDUSD,0.03,up,2131,5,0.382,69.08,59.36,10.6
AUDUSD,0.03,up,2131,5,0.5,62.27,59.36,10.6
AUDUSD,0.03,up,2131,5,0.618,55.56,59.36,10.6
AUDUSD,0.03,up,2131,5,0.786,46.46,59.36,10.6
AUDUSD,0.05,down,3719,1,0.236,58.97,38.64,8.9
AUDUSD,0.05,down,3719,1,0.382,48.75,38.64,8.9
AUDUSD,0.05,down,3719,1,0.5,40.82,38.64,8.9
AUDUSD,0.05,down,3719,1,0.618,33.13,38.64,8.9
AUDUSD,0.05,down,3719,1,0.786,24.95,38.64,8.9
AUDUSD,0.05,down,3719,2,0.236,66.79,47.46,8.9
AUDUSD,0.05,down,3719,2,0.382,58.08,47.46,8.9
AUDUSD,0.05,down,3719,2,0.5,50.39,47.46,8.9
AUDUSD,0.05,down,3719,2,0.618,43.0,47.46,8.9
AUDUSD,0.05,down,3719,2,0.786,33.64,47.46,8.9
AUDUSD,0.05,down,3719,3,0.236,71.66,53.19,8.9
AUDUSD,0.05,down,3719,3,0.382,63.46,53.19,8.9
AUDUSD,0.05,down,3719,3,0.5,56.31,53.19,8.9
AUDUSD,0.05,down,3719,3,0.618,49.58,53.19,8.9
AUDUSD,0.05,down,3719,3,0.786,39.96,53.19,8.9
AUDUSD,0.05,down,3719,5,0.236,77.12,60.29,8.9
AUDUSD,0.05,down,3719,5,0.382,70.13,60.29,8.9
AUDUSD,0.05,down,3719,5,0.5,63.51,60.29,8.9
AUDUSD,0.05,down,3719,5,0.618,57.87,60.29,8.9
AUDUSD,0.05,down,3719,5,0.786,49.23,60.29,8.9
AUDUSD,0.05,up,3591,1,0.236,59.23,38.43,8.9
AUDUSD,0.05,up,3591,1,0.382,49.04,38.43,8.9
AUDUSD,0.05,up,3591,1,0.5,41.49,38.43,8.9
AUDUSD,0.05,up,3591,1,0.618,34.25,38.43,8.9
AUDUSD,0.05,up,3591,1,0.786,25.34,38.43,8.9
AUDUSD,0.05,up,3591,2,0.236,67.28,48.01,8.9
AUDUSD,0.05,up,3591,2,0.382,58.09,48.01,8.9
AUDUSD,0.05,up,3591,2,0.5,50.38,48.01,8.9
AUDUSD,0.05,up,3591,2,0.618,43.19,48.01,8.9
AUDUSD,0.05,up,3591,2,0.786,34.25,48.01,8.9
AUDUSD,0.05,up,3591,3,0.236,72.21,53.08,8.9
AUDUSD,0.05,up,3591,3,0.382,63.38,53.08,8.9
AUDUSD,0.05,up,3591,3,0.5,56.92,53.08,8.9
AUDUSD,0.05,up,3591,3,0.618,49.35,53.08,8.9
AUDUSD,0.05,up,3591,3,0.786,40.91,53.08,8.9
AUDUSD,0.05,up,3591,5,0.236,77.64,60.85,8.9
AUDUSD,0.05,up,3591,5,0.382,70.26,60.85,8.9
AUDUSD,0.05,up,3591,5,0.5,64.08,60.85,8.9
AUDUSD,0.05,up,3591,5,0.618,57.76,60.85,8.9
AUDUSD,0.05,up,3591,5,0.786,49.62,60.85,8.9
