entry_time,exit_time,direction,entry_price,exit_price,stop_price,pnl_pips,exit_reason,hold_bars
2022-01-17 11:00:00+00:00,2022-01-17 11:30:00+00:00,Short,114.4535,114.48225,114.48225,-3.38,stop,6
2022-01-17 11:45:00+00:00,2022-01-17 12:00:00+00:00,Long,114.514,114.47075,114.47075,-4.82,stop,3
2022-01-17 12:10:00+00:00,2022-01-17 12:15:00+00:00,Short,114.4565,114.486,114.486,-3.45,stop,1
2022-01-17 12:35:00+00:00,2022-01-17 12:50:00+00:00,Long,114.54,114.5695,114.4835,2.45,tp,3
2022-01-17 15:15:00+00:00,2022-01-17 15:50:00+00:00,Long,114.5635,114.62,114.54375,5.15,tp,7
2022-01-17 17:45:00+00:00,2022-01-17 18:00:00+00:00,Long,114.6045,114.6195,114.575,1.0,tp,3
2022-01-17 19:30:00+00:00,2022-01-17 20:30:00+00:00,Short,114.583,114.596,114.596,-1.8,stop,12
2022-01-17 20:35:00+00:00,2022-01-17 21:00:00+00:00,Long,114.603,114.616,114.58475,0.8,tp,5
2022-01-18 00:00:00+00:00,2022-01-18 00:25:00+00:00,Short,114.5715,114.498,114.61525,6.85,tp,5
2022-01-18 02:00:00+00:00,2022-01-18 02:20:00+00:00,Short,114.472,114.52425,114.52425,-5.73,stop,4
2022-01-18 02:35:00+00:00,2022-01-18 02:55:00+00:00,Long,114.5565,114.7555,114.505,19.4,tp,4
2022-01-18 05:35:00+00:00,2022-01-18 06:15:00+00:00,Short,114.754,114.85575,114.85575,-10.67,stop,8
2022-01-18 06:45:00+00:00,2022-01-18 07:00:00+00:00,Long,114.898,114.827,114.827,-7.6,stop,3
2022-01-18 10:45:00+00:00,2022-01-18 11:00:00+00:00,Long,114.68,114.7235,114.63475,3.85,tp,3
2022-01-18 12:20:00+00:00,2022-01-18 12:50:00+00:00,Short,114.6415,114.6015,114.69475,3.5,tp,6
2022-01-18 17:20:00+00:00,2022-01-18 17:30:00+00:00,Short,114.55,114.61175,114.61175,-6.67,stop,2
2022-01-18 19:10:00+00:00,2022-01-18 19:35:00+00:00,Short,114.565,114.5485,114.5985,1.15,tp,5
2022-01-18 21:55:00+00:00,2022-01-18 22:10:00+00:00,Short,114.5795,114.614,114.614,-3.95,stop,3
2022-01-18 23:20:00+00:00,2022-01-18 23:35:00+00:00,Short,114.588,114.601,114.601,-1.8,stop,3
2022-01-18 23:50:00+00:00,2022-01-19 00:00:00+00:00,Short,114.567,114.591,114.591,-2.9,stop,2
2022-01-19 00:05:00+00:00,2022-01-19 00:30:00+00:00,Long,114.6205,114.675,114.582,4.95,tp,5
2022-01-19 01:05:00+00:00,2022-01-19 01:30:00+00:00,Long,114.726,114.7485,114.66025,1.75,tp,5
2022-01-19 01:55:00+00:00,2022-01-19 03:15:00+00:00,Short,114.6525,114.637,114.7275,1.05,tp,16
2022-01-19 03:25:00+00:00,2022-01-19 03:40:00+00:00,Short,114.5915,114.5375,114.6535,4.9,tp,3
