pair,strategy,direction,entry_time,entry_price,partial_exit_time,partial_exit_price,partial_pnl_pct,exit_time,exit_price,exit_reason,pnl_pct
NZDJPY,MEAN_REVERSION,SHORT,2026-03-20 07:30:00+00:00,93.21135735626221,,,,2026-03-20 08:45:00+00:00,93.21563799591064,midline,-0.004592401365921539
NZDJPY,MEAN_REVERSION,LONG,2026-03-25 04:45:00+00:00,92.42148047790528,,,,2026-03-25 06:20:00+00:00,92.42750994567871,midline,0.006523881398834419
NZDJPY,TREND,LONG,2026-03-26 20:10:00+00:00,92.0794092086792,,,,2026-03-26 20:15:00+00:00,92.05658194885254,state_change,-0.02479084088704564
NZDJPY,TREND,LONG,2026-03-26 21:55:00+00:00,92.08040885925293,,,,2026-03-26 22:00:00+00:00,91.99160013580322,state_change,-0.0964469256271916
NZDJPY,MEAN_REVERSION,SHORT,2026-03-27 20:40:00+00:00,92.06758133544922,,,,2026-03-27 21:00:00+00:00,92.11242057037353,state_change,-0.048702522944465976
NZDJPY,TREND,LONG,2026-03-31 06:30:00+00:00,91.21323869476318,,,,2026-03-31 06:35:00+00:00,91.13876628112793,state_change,-0.08164649638684462
NZDJPY,TREND,LONG,2026-03-31 07:30:00+00:00,91.25924551391601,,,,2026-03-31 07:35:00+00:00,91.22274911499024,state_change,-0.03999200159967575
NZDJPY,TREND,LONG,2026-04-01 06:25:00+00:00,91.22824108428955,,,,2026-04-01 06:30:00+00:00,91.19175708465576,state_change,-0.03999200159967575
NZDJPY,MEAN_REVERSION,LONG,2026-04-03 08:00:00+00:00,91.07521060638427,,,,2026-04-03 09:25:00+00:00,91.04078630828857,midline,-0.037797659611771284
NZDJPY,MEAN_REVERSION,LONG,2026-04-06 20:55:00+00:00,91.15922704010009,,,,2026-04-06 21:00:00+00:00,91.23374850158692,midline,0.08174867636168148
NZDJPY,TREND,LONG,2026-04-07 19:15:00+00:00,91.28725099182128,,,,2026-04-07 19:20:00+00:00,91.20975122680665,state_change,-0.0848965919913347
NZDJPY,TREND,SHORT,2026-04-12 23:00:00+00:00,92.67446219329834,,,,2026-04-12 23:05:00+00:00,92.72254318084717,state_change,-0.051881593279223814
NZDJPY,TREND,SHORT,2026-04-14 09:10:00+00:00,93.61527588500977,,,,2026-04-14 09:15:00+00:00,93.6307219116211,state_change,-0.016499472404807314
NZDJPY,MEAN_REVERSION,LONG,2026-04-15 23:45:00+00:00,93.9097770401001,,,,2026-04-16 02:00:00+00:00,93.81523283386231,midline,-0.10067557310610153
NZDJPY,MEAN_REVERSION,LONG,2026-04-17 20:45:00+00:00,93.29965442962646,,,,2026-04-17 21:00:00+00:00,93.30833807830811,state_change,0.009307267786518025
NZDJPY,MEAN_REVERSION,LONG,2026-04-20 20:55:00+00:00,93.50969551391601,,,,2026-04-20 21:00:00+00:00,93.5502864440918,midline,0.043408258312349624
NZDJPY,TREND,SHORT,2026-04-21 19:40:00+00:00,93.71525435943603,,,,2026-04-21 19:45:00+00:00,93.80175373077392,state_change,-0.09230020441084452
NZDJPY,TREND,LONG,2026-04-23 21:05:00+00:00,93.59371194763183,,,,2026-04-23 21:15:00+00:00,93.3483233657837,state_change,-0.2621849018932365
NZDJPY,TREND,LONG,2026-04-24 00:05:00+00:00,93.56871305236817,,,,2026-04-24 00:10:00+00:00,93.5222921661377,state_change,-0.04961154718937655
NZDJPY,MEAN_REVERSION,SHORT,2026-04-24 11:05:00+00:00,93.57228521728516,,,,2026-04-24 11:20:00+00:00,93.63972639770508,state_change,-0.07207388412424631
NZDJPY,MEAN_REVERSION,LONG,2026-04-24 20:50:00+00:00,93.71473834533691,,,,2026-04-24 21:00:00+00:00,93.73324850158691,midline,0.019751595722117266
NZDJPY,MEAN_REVERSION,LONG,2026-04-28 21:10:00+00:00,93.80975856628417,,,,2026-04-28 21:20:00+00:00,93.89621791534424,midline,0.09216455769787135
NZDJPY,MEAN_REVERSION,LONG,2026-04-29 13:15:00+00:00,93.55570996398926,,,,2026-04-29 14:05:00+00:00,93.40031491851806,state_change,-0.16609894311209183
NZDJPY,MEAN_REVERSION,LONG,2026-04-29 18:10:00+00:00,93.36866847381592,,,,2026-04-29 18:40:00+00:00,93.27733842010498,state_change,-0.09781659651336705
NZDJPY,TREND,SHORT,2026-05-01 06:45:00+00:00,91.81063657989502,,,,2026-05-01 06:50:00+00:00,91.84936748199463,state_change,-0.042185637244673835
NZDJPY,TREND,LONG,2026-05-01 14:00:00+00:00,92.5635071685791,,,,2026-05-01 14:05:00+00:00,92.5634843322754,state_change,-2.467095769898009e-05
NZDJPY,TREND,LONG,2026-05-06 06:45:00+00:00,93.076610256958,,,,2026-05-06 06:50:00+00:00,93.0353900543213,state_change,-0.044286316962882655
NZDJPY,TREND,SHORT,2026-05-06 07:55:00+00:00,92.75644652557374,,,,2026-05-06 08:10:00+00:00,92.97459248199463,state_change,-0.23518145055367867
NZDJPY,TREND,LONG,2026-05-06 08:50:00+00:00,93.17362977905273,,,,2026-05-06 08:55:00+00:00,93.09937261657716,state_change,-0.07969761685968635
NZDJPY,TREND,SHORT,2026-05-06 10:20:00+00:00,92.9894016342163,,,,2026-05-06 10:25:00+00:00,93.047605128479,state_change,-0.06259153542211848
NZDJPY,MEAN_REVERSION,LONG,2026-05-07 12:20:00+00:00,93.4576907913208,,,,2026-05-07 13:30:00+00:00,93.44330558624267,midline,-0.015392211123910204
CHFJPY,TREND,LONG,2026-03-20 01:00:00+00:00,200.27404032897948,,,,2026-03-20 01:05:00+00:00,200.16895783386232,state_change,-0.05246935396346908
CHFJPY,TREND,LONG,2026-03-20 01:40:00+00:00,200.3930674255371,,,,2026-03-20 01:45:00+00:00,200.34992138977051,state_change,-0.02153070279371505
CHFJPY,TREND,LONG,2026-03-20 02:45:00+00:00,200.7101321685791,,,,2026-03-20 02:50:00+00:00,200.59486750793457,state_change,-0.057428421474858826
CHFJPY,MEAN_REVERSION,LONG,2026-03-23 00:05:00+00:00,201.92737080688477,,,,2026-03-23 00:25:00+00:00,202.00559604797363,midline,0.03873929560727074
CHFJPY,TREND,LONG,2026-03-23 01:45:00+00:00,202.36346264648438,,,,2026-03-23 01:50:00+00:00,202.28653045043947,state_change,-0.03801684110302794
CHFJPY,TREND,SHORT,2026-03-23 06:30:00+00:00,201.7796433227539,,,,2026-03-23 06:35:00+00:00,201.9253715057373,state_change,-0.0722214493908524
CHFJPY,TREND,SHORT,2026-03-23 08:45:00+00:00,201.66365395202638,,,,2026-03-23 08:50:00+00:00,201.7293331604004,state_change,-0.03256868904579768
CHFJPY,TREND,SHORT,2026-03-23 09:40:00+00:00,201.14376893615724,,,,2026-03-23 09:45:00+00:00,201.26624312438963,state_change,-0.0608888800682994
CHFJPY,TREND,LONG,2026-03-23 14:20:00+00:00,201.70233496398924,,,,2026-03-23 14:30:00+00:00,201.8206202331543,state_change,0.05864348034749778
CHFJPY,TREND,LONG,2026-03-23 15:00:00+00:00,201.8923754058838,,,,2026-03-23 15:10:00+00:00,201.69364673156738,state_change,-0.09843297643949978
CHFJPY,TREND,SHORT,2026-03-23 15:50:00+00:00,201.5296933227539,,,,2026-03-23 16:00:00+00:00,201.51429382324218,state_change,0.007641305485961425
CHFJPY,TREND,SHORT,2026-03-23 21:35:00+00:00,201.3187217315674,,,,2026-03-23 21:40:00+00:00,201.45228496398926,state_change,-0.06634416872561832
CHFJPY,TREND,SHORT,2026-03-23 22:00:00+00:00,201.3087292236328,,,,2026-03-23 22:05:00+00:00,201.31125029296874,state_change,-0.0012523397995067853
CHFJPY,MEAN_REVERSION,SHORT,2026-03-24 19:00:00+00:00,201.00379754638672,,,,2026-03-24 19:25:00+00:00,201.21223146972656,state_change,-0.10369651015760262
CHFJPY,MEAN_REVERSION,SHORT,2026-03-25 00:20:00+00:00,201.56467472839356,,,,2026-03-25 00:55:00+00:00,201.48828764648437,midline,0.03789705810907096
CHFJPY,TREND,SHORT,2026-03-25 21:05:00+00:00,201.30172684020997,,,,2026-03-25 21:10:00+00:00,201.3922754058838,state_change,-0.044981514612496554
CHFJPY,MEAN_REVERSION,SHORT,2026-03-27 07:15:00+00:00,200.7248463897705,,,,2026-03-27 07:25:00+00:00,200.85015955810547,state_change,-0.06243032219919176
CHFJPY,TREND,LONG,2026-03-27 15:55:00+00:00,200.9921862487793,,,,2026-03-27 16:00:00+00:00,200.90681682434084,state_change,-0.04247400161755399
CHFJPY,TREND,SHORT,2026-03-29 23:00:00+00:00,200.4458952331543,,,,2026-03-29 23:05:00+00:00,200.57311136169434,state_change,-0.06346656707141296
CHFJPY,TREND,SHORT,2026-03-29 23:45:00+00:00,200.31692322998046,,,,2026-03-29 23:50:00+00:00,200.44507977905272,state_change,-0.06397689571395748
CHFJPY,TREND,SHORT,2026-03-29 23:55:00+00:00,200.25994305114747,,,,2026-03-30 00:10:00+00:00,200.20203496398926,state_change,0.028916460414363243
