pair,direction,signal_bar,entry_bar,pnl_yen,r_mult,held,session,combo,period,year_week
NZDUSD,short,2022-06-09 20:40:00,2022-06-09 20:45:00,-793.9914163076842,-0.15879828326153683,3,"深夜
03-09JST","NZDUSD_深夜
03-09JST",IS,2022_23
NZDUSD,short,2022-06-09 20:45:00,2022-06-09 20:50:00,-3205.1282051291446,-0.6410256410258289,2,"深夜
03-09JST","NZDUSD_深夜
03-09JST",IS,2022_23
NZDUSD,short,2022-06-09 20:50:00,2022-06-09 20:55:00,-7545.454545453853,-1.5090909090907705,1,"深夜
03-09JST","NZDUSD_深夜
03-09JST",IS,2022_23
NZDUSD,short,2022-06-09 20:55:00,2022-06-09 21:05:00,-2436.6197183111735,-0.4873239436622347,6,"深夜
03-09JST","NZDUSD_深夜
03-09JST",IS,2022_23
NZDUSD,short,2022-06-09 21:10:00,2022-06-09 21:15:00,-5206.489675516721,-1.0412979351033442,5,"深夜
03-09JST","NZDUSD_深夜
03-09JST",IS,2022_23
NZDUSD,short,2022-06-09 21:20:00,2022-06-09 21:25:00,-7004.405286342764,-1.4008810572685528,2,"深夜
03-09JST","NZDUSD_深夜
03-09JST",IS,2022_23
CHFJPY,short,2022-06-10 00:10:00,2022-06-10 00:15:00,1256.983240225281,0.2513966480450562,2,"東京
09-15JST","CHFJPY_東京
09-15JST",IS,2022_23
AUDJPY,short,2022-06-10 00:10:00,2022-06-10 00:15:00,-5536.741214056964,-1.1073482428113928,1,"東京
09-15JST","AUDJPY_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 00:20:00,2022-06-10 00:25:00,-5165.975103734102,-1.0331950207468203,1,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
CHFJPY,short,2022-06-10 00:20:00,2022-06-10 00:25:00,-6859.9033816419715,-1.3719806763283944,1,"東京
09-15JST","CHFJPY_東京
09-15JST",IS,2022_23
AUDJPY,short,2022-06-10 00:20:00,2022-06-10 00:25:00,-5436.137071650959,-1.0872274143301919,1,"東京
09-15JST","AUDJPY_東京
09-15JST",IS,2022_23
CHFJPY,short,2022-06-10 00:25:00,2022-06-10 00:30:00,-6786.542923432825,-1.357308584686565,1,"東京
09-15JST","CHFJPY_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 00:25:00,2022-06-10 00:30:00,-3333.333333333117,-0.6666666666666234,2,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 00:35:00,2022-06-10 00:40:00,6630.658436215726,1.3261316872431452,2,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
AUDNZD,long,2022-06-10 00:35:00,2022-06-10 00:40:00,-5493.537015278433,-1.0987074030556865,2,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 00:40:00,2022-06-10 00:45:00,255.97269624616152,0.051194539249232306,2,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
USDJPY,short,2022-06-10 00:45:00,2022-06-10 00:50:00,-5120.950323974332,-1.0241900647948663,1,"東京
09-15JST","USDJPY_東京
09-15JST",IS,2022_23
AUDJPY,short,2022-06-10 00:45:00,2022-06-10 00:50:00,-2473.3388022967642,-0.49466776045935285,2,"東京
09-15JST","AUDJPY_東京
09-15JST",IS,2022_23
AUDNZD,long,2022-06-10 00:45:00,2022-06-10 00:50:00,-4603.624009059666,-0.9207248018119332,2,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
AUDNZD,long,2022-06-10 00:50:00,2022-06-10 00:55:00,-4459.161147904715,-0.891832229580943,2,"東京
09-15JST","AUDNZD_東京
09-15JST",IS,2022_23
