pair,base,quote,session,全BreakDown_n,全BreakDown_mean,全BreakDown_skew,Q25_n,Q25_mean,Q25_skew,Q10_n,Q10_mean,Q10_skew,Q10+ac>0_n,Q10+ac>0_mean,Q10+ac>0_skew,Q10+ac<0_n,Q10+ac<0_mean,Q10+ac<0_skew
GBPUSD,GBP,USD,"欧州
15-21JST",20707,-0.00016269322763407104,-0.7002653111556046,7172,-0.0005296622127648227,-0.8051788053440693,3096,5.150517857712694e-05,0.15382564007285016,1236,-0.0018829902646550095,-0.1931949571171903,1860,0.00133700860214429,0.4005387843617155
GBPUSD,GBP,USD,"NY
21-03JST",20430,4.2166687407290434e-05,0.10356938438740565,7862,0.002545019738401317,0.1467273291748658,4225,0.0014208758749485514,0.04455852900486118,1507,-0.0031550011005335955,-0.2713491743895035,2718,0.003957979113378131,0.17840117510173298
GBPUSD,GBP,USD,"深夜
03-09JST",18746,0.0010674688330067545,-0.5012845458498527,3949,0.0018494632668301586,5.140412189933315,1383,0.000705188525175556,3.9161481769349713,457,0.004022303048059611,5.726642160535899,926,-0.0009318755536127941,-0.026365460805985248
AUDUSD,AUD,USD,"東京
09-15JST",19994,0.0013355715692586537,0.6563605716908325,6012,0.003437066233402083,0.35460980184507884,2169,0.004959571108430406,-2.9309718814186105,858,0.009993115519177632,-4.256083242975702,1311,0.001665306345332682,-0.21186018483883015
AUDUSD,AUD,USD,"欧州
15-21JST",20406,-0.000981014870390798,-15.9281281725734,6615,-0.0003456668390263466,-10.678077577082938,2636,0.004678005459046046,0.4881751448748997,945,-0.005507571618804063,-0.3557868825128633,1691,0.010370122749742885,0.9118021332217362
AUDUSD,AUD,USD,"NY
21-03JST",20555,-0.0005649678263509495,0.41315802613510255,7863,0.0017749773165733024,0.5862837717876214,4048,0.0016815405202016533,0.4558396786766502,1497,0.0038760315700780935,0.5826902913492453,2551,0.0003937502020264146,0.39584382284848846
AUDUSD,AUD,USD,"深夜
03-09JST",18736,0.0008087124435897647,-0.41792874395882446,3691,0.005947264227046642,4.411083708225171,1257,0.0041703448755402855,2.900789758248327,508,0.0008206957972367471,5.638642662266189,749,0.006442202995404369,-0.057108475688481354
NZDUSD,NZD,USD,"東京
09-15JST",20012,0.00031892625314922985,0.647325324674338,6077,0.0016512308743943688,1.7943753888156038,2154,0.009795986907743534,3.0785522448092655,745,0.021108441869740657,4.8837136234490295,1409,0.003814596597816029,1.3946473984287546
NZDUSD,NZD,USD,"欧州
15-21JST",20464,-0.0009654070701483928,-3.8844676663709907,6483,0.0016714288632914685,-0.7210600672015932,2550,0.00317832965667593,-0.5351515291809698,930,0.0012940769923451957,-0.6086571195337691,1620,0.004260030260273198,-0.45772082708846895
NZDUSD,NZD,USD,"NY
21-03JST",20548,0.00023199150021671987,0.2113769689271971,7748,0.0039705270142689686,0.8514628296574983,3985,0.0050752868873365055,0.6946210758371936,1409,0.010636933371779046,1.3329518384653327,2576,0.0020332217100928972,0.3086695321764717
NZDUSD,NZD,USD,"深夜
03-09JST",18805,0.0004980054455887141,-0.9181047783067873,3972,0.0031353710714391034,2.5570134177950914,1431,0.0034063468533604454,-0.06465370512530452,546,-0.005236402123061067,-1.4071405106590307,885,0.008738483510000157,1.24947570639476
EURGBP,EUR,GBP,"東京
09-15JST",19892,0.0008252320638288305,0.8477705250233971,4337,0.002534379488558322,0.028745878841258846,959,0.005701418164039283,-0.3595987851032421,298,0.008529331510451226,0.7844235541438657,661,0.004426504128894413,-0.7644780933230648
EURGBP,EUR,GBP,"欧州
15-21JST",20663,0.002055607627302688,-0.026343974804589138,7435,0.0034443116645213813,0.5203281743936361,3493,0.00517498803987875,0.9809785965959602,1276,0.003503230085815568,1.2309247027605892,2217,0.006137172590796488,0.763079488019511
EURGBP,EUR,GBP,"NY
21-03JST",20619,-0.0004024300261591937,0.5801016298942312,8186,0.001202832042713979,0.8339806878116305,4291,0.004777520899527871,1.20618265462401,1477,0.005089826798809359,0.716006809640673,2814,0.004613599146422414,1.4331297804284298
EURGBP,EUR,GBP,"深夜
03-09JST",19062,0.0020622530058981036,2.4347171524127043,3724,0.006478003417891962,5.735637557275289,996,0.0064562522612583734,0.12079921754651834,311,0.010243510994933614,0.807097124112765,685,0.004736781507721149,-0.22989934738710394
EURAUD,EUR,AUD,"東京
09-15JST",20527,0.0002463962949879447,0.5937040604254153,6374,-0.00022994083458860085,0.11587325755778714,2376,0.00014290471841411993,-0.3044759610595993,922,0.006694123813117371,0.36838006073379376,1454,-0.004011307114678315,-0.7159968840867191
EURAUD,EUR,AUD,"欧州
15-21JST",21013,0.0002640571272423381,3.247817034645078,7126,0.00013863519617972943,-0.5232840345186187,3094,0.001851681644477018,0.06787224648320135,1095,0.000984386568406553,0.0945386163337432,1999,0.0023267632394230707,0.05281393457164171
EURAUD,EUR,AUD,"NY
21-03JST",20688,0.00017452638447850368,-0.9707723108816683,7450,-0.001281331919742598,-1.4387751267491695,3795,-0.00029252659611803285,0.7563840371233942,1369,-0.004248739516299149,1.1354129275515306,2426,0.0019399777269355322,0.5487368071655365
EURAUD,EUR,AUD,"深夜
03-09JST",19746,0.002963229486462599,2.9073489327796667,3618,0.007234621255225618,1.0621120679334042,903,0.011350928971678985,1.631034256805216,279,0.015771036310231357,0.2636096883806005,624,0.009374630978960857,2.357584779221361
AUDNZD,AUD,NZD,"東京
09-15JST",20415,0.0021915143505732817,0.937512953244072,6738,0.003831757050593559,1.457287066470217,3114,0.004071215620110641,0.5408937734981822,1068,0.0032498007462610683,0.428846692837245,2046,0.004499989366577572,0.5848652911459428
AUDNZD,AUD,NZD,"欧州
15-21JST",20778,0.0005238913916726052,2.911257281764002,7135,0.0008240618218041252,-17.120795904152416,3196,0.003463127301682455,0.5130165325461413,1148,0.0030245805956106817,-0.11969871744825995,2048,0.00370895328731253,0.8919034789146681
AUDNZD,AUD,NZD,"NY
21-03JST",20729,0.0010969706339551413,-0.26297595918018113,6542,0.0028316608410728777,-0.5340147628874131,2842,0.00287541824686505,-0.22313880804409608,999,0.002891982309904619,0.06031945246462213,1843,0.002866439679867475,-0.373783303074453
AUDNZD,AUD,NZD,"深夜
03-09JST",19371,0.00235105443126171,-0.2608522025148474,4269,0.008127675770594185,0.7088504417613968,1131,0.013077536924702014,1.3312426306310263,342,0.012999641622296677,-0.6247039752532078,789,0.013111301428406228,1.5945827574736893
