pair,base,quote,session,horizon,group,n,mean,skew,kurt
GBPUSD,GBP,USD,NY   21-03JST,6,Q10+ac>0,1507,-0.0033774647661811044,-0.2820715096033924,2.920725556030738
GBPUSD,GBP,USD,NY   21-03JST,6,Q10+ac<0,2718,0.004014521207040299,0.24314112745930352,6.375081774458762
GBPUSD,GBP,USD,NY   21-03JST,12,全BreakDown,20430,0.00017713001780266996,0.2315251843472046,11.162446729303978
GBPUSD,GBP,USD,NY   21-03JST,12,Q10,4225,0.0018927604252240691,0.7147112545153473,8.45563154794562
GBPUSD,GBP,USD,NY   21-03JST,12,Q10+ac>0,1507,-0.006515532734239471,0.7389452258006092,8.960146750384569
GBPUSD,GBP,USD,NY   21-03JST,12,Q10+ac<0,2718,0.006554753725927364,0.7010166133325252,8.22366677683629
GBPUSD,GBP,USD,NY   21-03JST,24,全BreakDown,20430,0.0005615684679375136,0.5207435127816191,8.29669707526552
GBPUSD,GBP,USD,NY   21-03JST,24,Q10,4225,0.005288012009496188,0.7431944222466135,8.223567960426704
GBPUSD,GBP,USD,NY   21-03JST,24,Q10+ac>0,1507,-0.0005707031023614049,1.0128239549089262,12.878640052372289
GBPUSD,GBP,USD,NY   21-03JST,24,Q10+ac<0,2718,0.008536387165334816,0.620055185664975,6.32724009604558
GBPUSD,GBP,USD,深夜 03-09JST,1,全BreakDown,18750,0.0004474061447759425,1.6182634928907773,65.76389152417099
GBPUSD,GBP,USD,深夜 03-09JST,1,Q10,1383,3.679425752401681e-05,-0.5222556880790988,6.260198178887313
GBPUSD,GBP,USD,深夜 03-09JST,1,Q10+ac>0,457,5.6573427110563255e-05,-0.9938263305302169,5.00174169514897
GBPUSD,GBP,USD,深夜 03-09JST,1,Q10+ac<0,926,2.7032831496962685e-05,-0.19469913987847318,7.040829034090434
GBPUSD,GBP,USD,深夜 03-09JST,3,全BreakDown,18748,0.0008433546145874091,2.050305393805527,166.45042078392055
GBPUSD,GBP,USD,深夜 03-09JST,3,Q10,1383,0.0011973959506125325,8.257707905553154,189.93146067233204
GBPUSD,GBP,USD,深夜 03-09JST,3,Q10+ac>0,457,0.004495806990482868,9.90027974028347,164.08830571717002
GBPUSD,GBP,USD,深夜 03-09JST,3,Q10+ac<0,926,-0.0004304375755437781,-0.17712853528154734,5.265304543081211
GBPUSD,GBP,USD,深夜 03-09JST,6,全BreakDown,18746,0.001027754210647099,0.013097762826025972,104.03722659222063
GBPUSD,GBP,USD,深夜 03-09JST,6,Q10,1383,0.0007405723424290557,3.9586668186952503,76.60159856322984
GBPUSD,GBP,USD,深夜 03-09JST,6,Q10+ac>0,457,0.003764909030087477,5.743662091922553,85.06763543253119
GBPUSD,GBP,USD,深夜 03-09JST,6,Q10+ac<0,926,-0.0007519998673548525,-0.03261778022550803,3.359040584243856
GBPUSD,GBP,USD,深夜 03-09JST,12,全BreakDown,18743,0.0016167145630442729,-0.11176624167604704,72.05982127554869
